Instance;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH
HFVRP_4;42503.22222222222;46127.0;44390.944444444445;42474.166666666664
C1_4_9;320574.5882352941;320386.9411764706;332745.35294117645;335792.35294117645
C1_6_4;679766.2142857143;665687.7142857143;682313.4285714285;671606.2142857143
C1_6_5;677353.2142857143;665687.7142857143;683320.9285714285;671578.3571428572
C1_2_7;128016.70588235294;129047.29411764706;136741.70588235295;136004.70588235295
C1_4_10;320591.0;320386.9411764706;332766.82352941175;335876.8823529412
HFVRP_p14;165345.55555555556;177792.16666666666;174492.72222222222;182736.05555555556
C1_2_6;97254.66666666667;104252.84210526316;110574.36842105263;109963.57894736843
CVRP_p5;39162.0;40167.0;39730.444444444445;40711.38888888889
CVRP_4;100624.94444444444;100627.72222222222;102473.77777777778;102194.88888888889
C1_4_7;311572.14285714284;311414.0;323434.0714285714;326461.5714285714
C1_4_1;273437.7;273279.0;283809.8;286361.05
C1_6_3;593339.7;584020.55;599909.65;589509.15
C1_2_1;97254.66666666667;97940.11111111111;103893.94444444444;103316.44444444444
CVRP_p3;47052.294117647056;46117.882352941175;47839.94117647059;47583.470588235294
C1_6_2;531234.6111111111;520541.27777777775;533991.1666666666;525353.1666666666
C1_4_4;243733.55555555556;243618.44444444444;253004.61111111112;255168.22222222222
CVRP_100;13903.894736842105;13903.894736842105;13907.21052631579;13903.894736842105
C1_2_5;109140.0;109963.2;116585.45;115946.0
C1_4_3;311572.5714285714;311414.0;323443.28571428574;326391.21428571426
HFVRP_1;33942.22222222222;34167.166666666664;40571.22222222222;33941.11111111111
C1_4_2;320543.4705882353;320386.9411764706;332756.4117647059;335888.0
C1_2_3;135882.0;136899.125;145139.0625;144362.5
C1_4_6;311589.5;311414.0;323443.0714285714;326454.35714285716
C1_4_8;335129.07692307694;334881.6923076923;347800.6923076923;351016.92307692306
C1_2_10;130533.6;136744.0;145137.4375;144362.5
C1_2_4;109140.0;109964.9;116585.45;115946.0
C1_6_1;597542.4;584063.85;600757.15;590897.75
CVRP_p14;179886.11111111112;194608.5;175806.11111111112;173196.38888888888
C1_2_8;109140.0;109936.0;116585.45;115946.0
C1_2_9;130533.6;131465.33333333334;139428.6;138679.2
C1_2_2;124421.14285714286;125240.28571428571;132900.5;132184.0
CVRP_1;47274.23529411765;47719.529411764706;48172.41176470588;46890.117647058825
HFVRP_p3;43020.0;42666.22222222222;44333.88888888889;43729.72222222222
C1_4_5;320583.23529411765;320386.9411764706;332759.35294117645;335779.23529411765
HFVRP_p5;41933.27777777778;42765.5;44730.22222222222;41776.666666666664
CVRP_3;7770.0;777.0;777.0;777.0
