Instance;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;BEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT
p3;32095.5;32549.0;32549.0;31188.5
p6;35864.05263157895;35864.05263157895;38268.5;37805.5
p19;81857.15;82891.75;86132.8;84629.75
p5;33441.0;33459.5;34539.0;32143.0
p1;27742.5;23152.5;25292.5;27783.5
p31;26211.5;26201.0;26201.0;26211.5
p15;51759.0;48906.0;48906.0;45072.0
p2;27742.5;23152.5;25292.5;27783.5
p20;23780.0;23780.0;23780.0;23780.0
p4;7110.0;7110.0;7110.0;7110.0
