Instance;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT
st70;17384.666666666668;17384.666666666668;17384.666666666668;17598.696969696968
rd100;56885.333333333336;51842.606060606064;56974.393939393936;56953.51515151515
dsj1000;16097409.78125;16259321.878787879;15972733.8125;15937370.151515152
ch150;65704.84848484848;65628.48484848485;65704.84848484848;65480.0
d657;169969.27272727274;169450.24242424243;170425.63636363635;165163.27272727274
att48;66434.9375;66434.9375;66434.9375;66751.5
pr76;126812.0;126242.0;126588.75;125683.9375
pr107;76056.7741935484;76056.7741935484;76056.7741935484;80210.64516129032
ulysses22;2283.1290322580644;2283.1290322580644;2283.1290322580644;2283.1290322580644
pr124;96222.0;95173.6129032258;94883.29032258065;96699.74193548386
d493;147689.16129032258;144254.0;147006.61290322582;141079.875
ulysses16;2239.3225806451615;2239.3225806451615;2257.3870967741937;2240.2903225806454
u724;171863.46875;169401.875;172308.71875;164690.8125
