Instance;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SWEEP_and_SIMULATED_ANNEALING
CVRP_3;41778.1;41773.75;41475.2;41780.65
p3;54851.78947368421;55998.73684210526;51651.21052631579;55893.68421052631
p1;41317.05263157895;41464.89473684211;41024.57894736842;41079.36842105263
CVRP_5;47673.75;47863.75;47979.2;50249.5
p31;36606.10526315789;36864.78947368421;35853.36842105263;36864.78947368421
CVRP_2;42168.6;42247.1;42010.95;42077.55
CVRP_100;17216.95;17216.95;17308.25;17217.15
p2;41137.21052631579;41139.89473684211;40886.36842105263;40943.26315789474
CVRP_4;46952.0;47802.7;46780.85;47513.75
CVRP_1;41456.3;41456.3;41373.45;41392.95
p6;22360.0;22360.0;22360.0;22360.0
p19;60090.0;60090.0;60090.0;60090.0
p5;21670.0;21670.0;21670.0;21670.0
p15;16530.0;16530.0;16530.0;16530.0
p20;94810.0;94810.0;94810.0;94810.0
p4;20480.0;20480.0;20480.0;20480.0
p16;68560.0;68560.0;68560.0;68560.0
p18;113030.0;113030.0;113030.0;113030.0
p17;79700.0;79700.0;79700.0;79700.0
p12;106350.0;106350.0;106350.0;106350.0
p11;37830.0;37830.0;37830.0;37830.0
p13;167400.0;167400.0;167400.0;167400.0
