Instance;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH;SWEEP_and_SIMULATED_ANNEALING;SAVINGS_and_GENERIC_TABU_SEARCH
C1_4_1;360740.25;7327.0;6899.0;368182.85
C1_2_7;129006.8;120221.68421052632;134956.1052631579;130908.7
C1_4_10;320137.45;311497.94736842107;309784.05263157893;317638.15
C1_4_2;346017.4;319980.94736842107;317854.4736842105;326127.1
C1_4_9;321770.5;306368.2631578947;305510.15789473685;309978.25
C1_2_5;153708.1;2824.0;2732.0;126571.0
C1_2_4;135371.5;2661.0;2637.0;119694.0
C1_2_8;130868.75;2452.0;2793.0;128805.6
C1_4_5;327555.45;318588.2105263158;317901.4210526316;345181.5
C1_6_1;828362.8;14474.4;14305.1;819713.55
C1_2_3;142816.25;125646.1052631579;122924.94736842105;138098.95
C1_6_3;795089.5;15320.7;15099.4;693704.45
C1_2_10;134764.8;129162.57894736843;119989.42105263157;128329.1
C1_2_9;143066.85;135811.8947368421;135753.47368421053;141595.55
C1_2_6;149684.5;2503.0;2674.0;146407.0
C1_4_6;336155.4;312452.84210526315;317599.3157894737;330459.9
C1_4_4;332602.8;7160.0;7037.0;311747.9
C1_2_2;125173.85;124786.63157894737;120748.73684210527;135387.15
C1_6_5;14919.3;14799.3;14743.9;14954.5
C1_2_1;152599.0;2671.0;3032.0;120392.5
C1_4_3;341020.4;320576.5789473684;318882.4210526316;336865.75
C1_6_2;777824.4;15430.0;15271.6;754159.0
C1_4_7;328423.75;329775.2105263158;328024.5789473684;338983.3
C1_6_4;14041.4;13756.3;13896.8;13809.6
C1_4_8;340599.65;311759.5263157895;327255.7894736842;332594.55
