Instance;SAVINGS_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH
HFVRP_4;1.5714660353130765;60.00433325767517;60.00148420863681
C1_4_9;27.21983601065243;60.972544712178845;61.115604400634766
C1_6_4;62.57432060582297;60.03393362249647;63.72193968296051
C1_6_5;58.48627952166966;60.030211550848826;61.170053584235056
C1_2_7;6.151694003273459;60.13103308397181;60.09300381997053
C1_4_10;29.749766812605017;60.57025053921868;61.16279775956098
HFVRP_p14;32.46196749475267;60.00249857372708;60.01632768578
C1_2_6;5.5105507750260205;60.05664712852902;60.10842500234905
CVRP_p5;1.6971753703223333;60.00237633122338;60.00053493181864
CVRP_4;0.6665595240063138;60.00960801707374;60.00260898802016
C1_4_7;28.310235721724375;60.91877920286996;61.87768503597805
C1_4_1;28.687202644348144;60.99589077234268;60.988917481899264
C1_6_3;60.1037384390831;60.02219835519791;61.430780827999115
C1_2_1;5.577626744906108;60.126940766970314;60.066295093960235
CVRP_p3;0.9942570013158462;60.00157971943126;60.00062744757708
C1_6_2;59.44587324725257;60.020373053020904;61.34839685757955
C1_4_4;28.773250434133743;60.7672924068239;60.93036533726586
CVRP_100;0.020571658485814145;60.00037365210684;60.000380177246896
C1_2_5;6.095759475231171;60.09856243133545;60.06639224290848
C1_4_3;24.921254685946874;60.831396852220806;61.46331070150648
HFVRP_1;0.6186895767847697;60.00070627530416;60.00038582748837
C1_4_2;24.814486433477963;63.61749395202188;66.3688840305104
C1_2_3;5.170317277312279;61.9537001401186;60.0428272485733
C1_4_6;28.176423362323217;60.48991765294756;60.46032454286303
C1_4_8;25.834075909394485;60.902901282677284;61.09089033420269
C1_2_10;4.6220423579216;62.87169726689657;60.03815181553364
C1_2_4;5.657419764995575;60.12300946712494;62.54149354696274
C1_6_1;60.47295157909393;60.02577121257782;60.41510319709778
CVRP_p14;23.93401794963413;60.00528713067373;60.00448940859901
C1_2_8;6.423977160453797;60.03110975027084;60.12720234394074
C1_2_9;5.168750301996867;60.08430631955465;60.06555678049723
C1_2_2;5.546782544681004;60.07753593581064;60.03590876715524
CVRP_1;0.4437781502218807;60.00138142529656;60.0013578639311
HFVRP_p3;0.8231925699445937;60.33518539534675;60.001190450456406
C1_4_5;29.163304062450635;60.95530089210062;60.970610674689794
HFVRP_p5;1.7855565680397882;60.00214250882467;60.00127250618405
CVRP_3;0.008644342422485352;0.2010488510131836;0.0039038658142089844
