Instance;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH
CVRP_3;15.875362253189087;16.657193076610564;16.38129680156708;15.797236251831055
p3;44.480974310322814;46.07888462668971;44.746155412573565;45.85587614460995
p1;15.710100650787354;15.814123931683993;15.677346078973068;15.68987172528317
CVRP_5;48.039532041549684;50.15514634847641;49.058143210411075;48.96290253400802
p31;0.03178546303196957;0.0372810489252994;0.03311347961425781;0.03222875846059699
CVRP_2;12.189823687076569;13.098183190822601;12.940721368789672;12.365045881271362
CVRP_100;0.11275995969772339;0.11841288805007935;0.11464101076126099;0.1160791277885437
p2;15.913230306223818;14.010018800434313;15.762270362753616;15.951671399568257
CVRP_4;44.973058867454526;46.02001872062683;45.82068101167679;45.84012027978897
CVRP_1;13.934074807167054;14.809712505340576;12.317270207405091;12.989019811153412
p6;200.26292324066162;200.26292324066162;200.26292324066162;200.26292324066162
p19;200.2402114868164;200.2402114868164;200.2402114868164;200.2402114868164
p5;200.21778345108032;200.21778345108032;200.21778345108032;200.21778345108032
p15;200.1277494430542;200.1277494430542;200.1277494430542;200.1277494430542
p20;307.0319437980652;307.0319437980652;307.0319437980652;307.0319437980652
p4;200.37618398666382;200.37618398666382;200.37618398666382;200.37618398666382
p16;200.24366855621338;200.24366855621338;200.24366855621338;200.24366855621338
p18;200.24094343185425;200.24094343185425;200.24094343185425;200.24094343185425
p17;200.06910800933838;200.06910800933838;200.06910800933838;200.06910800933838
p12;200.24932146072388;200.24932146072388;200.24932146072388;200.24932146072388
p11;200.08299589157104;200.08299589157104;200.08299589157104;200.08299589157104
p13;200.04117012023926;200.04117012023926;200.04117012023926;200.04117012023926
