Instance;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH
HFVRP_4;44770.0;3638.0;2826.0;4477.0;3603.0;4446.0;2827.0;3626.0;3635.0;4420.0;4420.0
HFVRP_p14;88400.0;8520.0;8340.0;8230.0;8360.0;8170.0;8660.0;8350.0;8450.0;8840.0;8840.0
C1_2_6;2398.8;2389.0;2285.0;2358.0;2280.0;2371.0;2172.0;2389.0;2262.0;2480.6;2477.8
CVRP_p5;35090.0;3447.0;3422.0;3432.0;3396.0;3391.0;3390.0;3447.0;3427.0;3509.0;3509.0
CVRP_4;30750.0;2998.0;2997.0;2972.0;2987.0;3006.0;2973.0;2998.0;3037.0;3075.0;3075.0
C1_4_1;8284.5;6424.1;6319.0;6546.1;6466.4;6536.6;6226.0;6424.6;6334.0;8193.3;8055.8
C1_6_3;47408.7;12872.5;12527.4;12450.2;12705.1;12934.2;12047.2;12901.333333333334;12134.0;24725.3;21688.6
C1_2_1;2398.8;2389.0;2285.0;2358.0;2280.0;2371.0;2172.0;2389.0;2262.0;2480.6;2476.4
CVRP_p3;3077.0;3050.0;3058.0;3051.0;3076.0;3058.0;3092.0;3050.0;3129.0;3123.0;3123.0
C1_6_2;44475.6;12802.5;12468.2;12450.2;12632.7;12918.0;12033.9;12952.5;12134.0;24305.3;21294.9
C1_4_4;8009.1;6424.2;6319.0;6546.0;6473.2;6536.6;6226.0;6424.2;6334.0;8147.9;8115.0
CVRP_100;236.0;251.0;242.0;247.0;243.0;243.0;247.0;251.0;264.0;242.0;242.0
C1_2_5;2398.8;2389.0;2285.0;2358.0;2280.0;2371.0;2172.0;2389.0;2262.0;2480.6;2477.8
HFVRP_1;31350.0;2430.0;2418.0;3135.0;2415.0;3129.0;2415.0;2430.0;2433.0;2407.0;2407.0
C1_2_4;2398.6;2389.0;2285.0;2358.0;2280.0;2371.0;2172.0;2389.0;2262.0;2481.3;2477.1
C1_6_1;46224.7;12846.8;12432.1;12466.0;12662.7;12942.1;12050.9;13003.4;12134.0;24759.3;21177.4
CVRP_p14;8110.0;7700.0;7758.75;7870.0;7850.0;7840.0;7960.0;7700.0;8300.0;8460.0;8460.0
C1_2_8;2399.0;2389.0;2285.0;2358.0;2280.0;2371.0;2172.0;2389.0;2262.0;2479.2;2476.4
CVRP_1;1696.0;1682.0;1647.0;1664.0;1659.0;1662.0;1676.0;1682.0;1682.0;1718.0;1718.0
HFVRP_p3;30670.0;2997.0;3010.0;2986.0;3042.0;3007.0;2996.0;2997.0;3050.0;3067.0;3067.0
HFVRP_p5;14250.0;1348.0;1342.0;1382.0;1353.0;1403.0;1367.0;1348.0;1425.0;1336.0;1336.0
C1_4_9;7978.285714285715;6424.142857142857;6319.0;6546.0;6480.0;6536.0;6226.0;6424.571428571428;6334.0;8165.571428571428;8093.285714285715
C1_2_7;2398.285714285714;2389.0;2285.0;2358.0;2280.0;2371.0;2172.0;2389.0;2262.0;2489.285714285714;2494.5714285714284
C1_4_10;7129.142857142857;6424.0;6319.0;6546.0;6465.428571428572;6536.0;6226.0;6424.0;6334.0;8034.0;8034.0
C1_4_2;10266.57142857143;6424.0;6319.0;6546.0;6475.142857142857;6536.0;6226.0;6424.0;6334.0;8034.0;8034.0
C1_4_5;8110.0;6424.0;6319.0;6546.0;6480.0;6536.0;6226.0;6424.714285714285;6334.0;8034.0;8036.571428571428
C1_6_4;43725.5;12794.0;12419.166666666666;12443.0;12625.0;12918.0;12018.166666666666;12812.833333333334;12134.0;23386.666666666668;19929.166666666668
C1_6_5;39140.5;12794.0;12413.833333333334;12443.0;12625.0;12918.0;12021.833333333334;12794.0;12134.0;23163.333333333332;19987.833333333332
C1_4_7;7610.666666666667;6424.0;6319.0;6546.0;6468.666666666667;6536.0;6226.0;6424.0;6334.0;8034.0;8034.0
C1_4_3;7141.166666666667;6424.0;6319.0;6546.0;6468.666666666667;6536.0;6226.0;6424.0;6334.0;8034.0;8034.0
C1_2_3;2399.0;2389.0;2285.0;2358.0;2280.0;2371.0;2172.0;2389.0;2262.0;2480.8333333333335;2476.1666666666665
C1_4_6;7308.333333333333;6424.0;6319.0;6546.0;6468.666666666667;6536.0;6226.0;6424.0;6334.0;8034.0;8034.0
C1_4_8;7154.0;6424.0;6319.0;6546.0;6480.0;6536.0;6226.0;6424.0;6334.0;8034.0;8034.0
C1_2_10;2398.6666666666665;2389.0;2285.0;2358.0;2280.0;2371.0;2172.0;2389.0;2262.0;2480.8333333333335;2478.5
C1_2_9;2398.3333333333335;2389.0;2285.0;2358.0;2280.0;2371.0;2172.0;2389.0;2262.0;2480.8333333333335;2475.0
C1_2_2;2398.3333333333335;2389.0;2285.0;2358.0;2280.0;2371.0;2172.0;2389.0;2262.0;2480.8333333333335;2475.0
