Instance;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH
HFVRP_4;600.3153920173645;60.00344377756119;60.002581030130386;60.00059449672699;60.001631796360016;60.00062248110771;60.010613948106766;60.00084167718887;60.004446774721146;60.001474529504776;60.00334510207176
HFVRP_p14;602.0190668106079;60.00166282057762;60.0260888338089;60.02644029259682;60.00167456269264;60.00135177373886;60.00203928351402;60.00185126066208;60.0014663040638;60.00201657414436;60.002147406339645
C1_2_6;60.0132616519928;60.139151787757875;60.06878550052643;60.03573746681214;60.05376055240631;60.20855708122254;60.100043058395386;60.03935344219208;60.0109762430191;60.05414047241211;60.061507391929624
CVRP_p5;13080.056962966919;60.00568100810051;60.000918716192245;60.002073138952255;60.0164033472538;60.00164392590523;60.000878274440765;60.00224441289902;60.000379770994186;69.05075374245644;60.001754969358444
CVRP_4;601.0725259780884;60.00091037154198;60.00377351897104;60.00565454363823;60.00258180499077;60.00656333565712;60.0074211529323;60.00217425823212;60.00092414021492;60.00077563524246;60.001371920108795
C1_4_1;60.45057129859924;60.26398742198944;60.8791309595108;60.53224358558655;60.85029578208923;61.12578406333923;61.03311655521393;60.79654016494751;60.62910923957825;60.46859033107758;60.83955390453339
C1_6_3;60.01674828529358;60.70029911994934;61.584011459350585;61.38021755218506;61.052261281013486;61.52737567424774;61.80933680534363;70.46595274077521;66.00439953804016;60.00821404457092;60.007188010215756
C1_2_1;60.071744847297666;71.54935989379882;60.1113037109375;60.091287231445314;60.18120634555817;60.097122526168825;60.19067821502686;60.17261941432953;60.114791941642764;60.06242926120758;60.06235589981079
CVRP_p3;60.00039645603725;60.00102990014212;60.00083344323294;60.000474384852815;60.0003399167742;60.00029584339687;60.00055660520281;60.00136126790728;60.00053933688572;60.00058838299343;60.00038065229143
C1_6_2;60.04265348911285;62.6956324338913;61.55916819572449;61.63227274417877;61.434983944892885;62.49437882900238;61.83133499622345;62.35667078495025;63.57416594028473;60.0457046508789;60.037541365623476
