Instance;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;CHRISTOFIDES_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT
HFVRP_4;4477.0;3639.0;4446.0;44770.0;2834.0;3638.0;4420.0;3603.0;4420.0;2826.0;44770.0;3626.0
HFVRP_p14;8230.0;8450.0;8170.0;88400.0;8660.0;8520.0;8840.0;8360.0;8840.0;8340.0;88400.0;8350.0
C1_2_6;2358.0;2262.0;2371.0;25400.0;2172.0;2389.0;2481.5;2280.0;2479.2;2285.0;2400.0;2389.0
CVRP_p5;3432.0;3427.0;3391.0;35090.0;3390.0;3447.0;3509.0;3396.0;3509.0;3422.0;35090.0;3447.0
CVRP_4;2972.0;3038.0;3006.0;30750.0;2977.0;2998.0;3075.0;2987.0;3075.0;2997.0;30750.0;2998.0
C1_4_1;6546.1;6334.0;6536.3;134640.0;6226.0;6424.1;8049.3;6466.4;8150.1;6319.0;8219.6;6424.1
C1_6_3;12448.3;12134.0;12946.3;710450.0;12057.0;12847.2;21465.5;12691.0;25155.6;12489.0;44880.5;13037.1
C1_2_1;2358.0;2262.0;2371.0;24820.0;2172.0;2389.0;2475.7;2280.0;2479.9;2285.0;2399.8;2389.0
CVRP_p3;3051.0;3129.0;3058.0;31290.0;3092.0;3050.0;3124.0;3076.0;3124.0;3058.0;3077.0;3050.0
C1_6_2;12447.1;12134.0;12921.8;656370.0;12044.8;12815.5;20560.7;12635.2;24189.4;12477.1;43796.9;12875.6
C1_4_4;6546.3;6334.0;6536.3;132030.0;6226.0;6424.0;8125.7;6469.8;8069.9;6319.0;7801.4;6424.7
CVRP_100;259.0;264.0;243.0;236.0;247.0;251.0;247.0;243.0;247.0;242.0;236.0;251.0
C1_2_5;2358.0;2262.0;2371.0;25400.0;2172.0;2389.0;2481.5;2280.0;2478.5;2285.0;2400.0;2389.0
HFVRP_1;3135.0;2433.0;3129.0;31350.0;2415.0;2430.0;2407.0;2415.0;2407.0;2418.0;31350.0;2430.0
C1_2_4;2358.0;2262.0;2371.0;24820.0;2172.0;2389.0;2475.0;2280.0;2480.6;2285.0;2400.0;2389.0
C1_6_1;12449.0;12134.0;12934.2;684310.0;12061.1;12817.9;20730.2;12651.8;24591.3;12428.5;46008.8;12923.5
CVRP_p14;7870.0;8300.0;7840.0;84600.0;7960.0;7700.0;8460.0;7850.0;8460.0;7762.5;8110.0;7700.0
C1_2_8;2358.0;2262.0;2371.0;25380.0;2172.0;2389.0;2475.0;2280.0;2480.6;2285.0;2400.0;2389.0
CVRP_1;1664.0;1682.0;1662.0;17180.0;1676.0;1682.0;1718.0;1659.0;1718.0;1647.0;1696.0;1682.0
HFVRP_p3;2986.0;3050.0;3007.0;30670.0;2996.0;2997.0;3067.0;3042.0;3067.0;3010.0;30670.0;2997.0
HFVRP_p5;1382.0;1425.0;1403.0;14250.0;1370.0;1348.0;1336.0;1353.0;1336.0;1342.0;14250.0;1348.0
C1_4_9;6546.0;6334.0;6536.0;138320.0;6226.0;6424.285714285715;8133.428571428572;6480.0;8165.571428571428;6319.0;8085.142857142857;6424.142857142857
C1_2_7;2358.0;2262.0;2371.0;25400.0;2172.0;2389.0;2475.0;2280.0;2478.0;2285.0;2399.714285714286;2389.0
C1_4_10;6546.0;6334.0;6536.0;99330.0;6226.0;6424.0;8034.0;6475.142857142857;8034.0;6319.0;7562.428571428572;6424.0
C1_4_2;6546.0;6334.0;6536.0;282620.0;6226.0;6424.0;8034.0;6475.142857142857;8034.0;6319.0;7138.714285714285;6424.0
C1_4_5;6546.142857142857;6334.0;6536.0;121530.0;6226.0;6424.142857142857;8168.714285714285;6475.142857142857;8161.571428571428;6319.0;8034.285714285715;6424.142857142857
C1_6_4;12443.0;12134.0;12918.0;710450.0;12020.166666666666;12794.0;19072.0;12625.0;22922.833333333332;12421.333333333334;40837.333333333336;12794.166666666666
C1_6_5;12443.0;12134.0;12918.0;554350.0;12021.833333333334;12794.0;18867.333333333332;12625.0;22571.333333333332;12421.333333333334;41049.666666666664;12794.0
C1_4_7;6546.0;6334.0;6536.0;99460.0;6226.0;6424.0;8034.0;6468.666666666667;8034.0;6319.0;7283.666666666667;6424.0
C1_4_3;6546.0;6334.0;6536.0;89750.0;6226.0;6424.0;8034.0;6474.333333333333;8034.0;6319.0;7113.166666666667;6424.0
C1_2_3;2358.0;2262.0;2371.0;24820.0;2172.0;2389.0;2475.0;2280.0;2480.8333333333335;2285.0;2400.0;2389.0
C1_4_6;6546.0;6334.0;6536.0;89160.0;6226.0;6424.0;8034.0;6468.666666666667;8034.0;6319.0;7430.833333333333;6424.0
C1_4_8;6546.0;6334.0;6536.666666666667;80340.0;6226.0;6424.0;8034.0;6480.0;8034.0;6319.0;7157.0;6424.0
C1_2_10;2358.0;2262.0;2371.0;24820.0;2172.0;2389.0;2475.0;2280.0;2478.5;2285.0;2400.0;2389.0
C1_2_9;2358.0;2262.0;2371.0;24820.0;2172.0;2389.0;2475.0;2280.0;2482.0;2285.0;2399.6666666666665;2389.0
C1_2_2;2358.0;2262.0;2371.0;26810.0;2172.0;2389.0;2509.3333333333335;2280.0;2482.0;2285.0;2400.0;2389.0
