Instance;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH
HFVRP_4;2798.5;2787.0;2789.25;2795.375;2785.0;3195.0;2786.75;2797.375;2777.75;44770.0;2785.5
HFVRP_p14;8803.75;8313.75;8445.0;8213.75;8370.0;7987.5;8631.25;8776.25;8051.25;88400.0;8360.0
C1_2_6;2436.2;2385.0;2262.0;2285.0;2385.4;2354.0;2172.0;2392.1;2361.0;2347.3;2280.0
CVRP_p5;3371.5;3354.625;3374.0;3371.5;3355.75;3394.0;3353.0;3368.5;3365.75;35090.0;3365.0
CVRP_4;2963.875;2961.625;2971.25;2950.0;2962.0;2960.875;2958.625;2966.5;2955.375;30750.0;2958.625
C1_4_1;8141.9;6424.0;6334.0;6311.3;6424.1;6540.7;6226.0;8082.8;6535.4;8513.4;6466.4
C1_6_3;25020.1;12915.555555555555;12134.0;12519.2;12821.0;12456.2;12053.6;21738.8;12924.4;47208.1;12695.4
C1_2_1;2445.2;2385.8;2262.0;2285.0;2385.4;2353.4;2172.0;2402.0;2360.5;2340.2;2280.0
CVRP_p3;3049.4285714285716;3047.0;3041.1428571428573;3029.285714285714;3047.0;3044.0;3056.714285714286;3049.8571428571427;3035.8571428571427;3028.0;3031.285714285714
C1_6_2;24501.0;12956.1;12134.0;12469.0;12795.7;12449.0;12031.4;20948.1;12931.0;45844.7;12638.8
C1_4_4;8149.6;6424.3;6334.0;6311.3;6424.1;6541.9;6226.0;8066.1;6536.1;8270.7;6469.8
CVRP_100;236.0;236.0;236.0;236.0;236.0;236.0;236.0;236.0;236.0;236.0;236.0
C1_2_5;2427.4;2385.4;2262.0;2285.0;2385.4;2354.4;2172.0;2392.2;2361.0;2347.3;2280.0
HFVRP_1;2400.0;2403.0;2403.75;2402.25;2403.0;2405.875;2406.5;2400.0;2406.0;31350.0;2404.0
C1_2_4;2454.8;2385.0;2262.0;2285.0;2385.8;2352.4;2172.0;2383.4;2362.4;2340.1;2280.0
C1_6_1;25170.8;13016.0;12134.0;12488.0;12846.6;12461.8;12029.7;21098.3;12938.2;46398.5;12661.5
CVRP_p14;8456.25;7700.0;8291.25;7757.5;7700.0;7741.25;7862.5;8456.25;7742.5;8100.0;7850.0
C1_2_8;2454.8;2385.0;2262.0;2285.0;2385.8;2354.6;2172.0;2383.4;2362.1;2361.5;2280.0
CVRP_1;1625.857142857143;1624.2857142857142;1630.5714285714287;1626.2857142857142;1624.4285714285713;1619.0;1619.5714285714287;1625.857142857143;1631.0;1619.5714285714287;1635.2857142857142
HFVRP_p3;2983.75;2978.0;2981.875;2972.75;2978.0;2965.0;2980.0;2983.75;2981.25;30670.0;2978.75
HFVRP_p5;1311.0;1317.75;1330.5;1336.75;1317.75;1320.25;1326.375;1311.0;1318.875;14250.0;1321.5
C1_4_9;8153.571428571428;6424.142857142857;6334.0;6309.571428571428;6424.142857142857;6540.857142857143;6226.0;8107.714285714285;6535.142857142857;7800.571428571428;6480.0
C1_2_7;2421.8571428571427;2385.5714285714284;2262.0;2285.0;2385.0;2353.1428571428573;2172.0;2383.0;2360.0;2326.0;2280.0
C1_4_10;8022.0;6424.0;6334.0;6308.0;6424.0;6540.0;6226.0;8020.0;6535.285714285715;7342.571428571428;6475.142857142857
C1_4_2;8020.0;6424.0;6334.0;6308.0;6424.0;6540.0;6226.0;8020.0;6535.0;7137.0;6475.142857142857
C1_4_5;8073.142857142857;6424.142857142857;6334.0;6312.714285714285;6424.142857142857;6541.0;6226.0;8153.571428571428;6535.857142857143;7971.142857142857;6475.142857142857
C1_6_4;22708.166666666668;12794.0;12134.0;12422.0;12794.0;12443.0;12024.666666666666;19523.166666666668;12918.0;43156.166666666664;12625.0
C1_6_5;22839.833333333332;12794.0;12134.0;12418.5;12794.0;12443.0;12021.833333333334;20209.0;12918.0;39106.5;12625.0
C1_4_7;8034.5;6424.0;6334.0;6308.0;6424.0;6541.0;6226.0;8020.0;6535.0;7386.0;6468.666666666667
C1_4_3;8022.333333333333;6424.0;6334.0;6309.833333333333;6424.0;6540.0;6226.0;8020.0;6535.0;7150.833333333333;6474.333333333333
C1_2_3;2457.8333333333335;2385.6666666666665;2262.0;2285.0;2385.0;2354.0;2172.0;2383.1666666666665;2361.5;2337.8333333333335;2280.0
C1_4_6;8022.333333333333;6424.0;6334.0;6309.833333333333;6424.0;6541.0;6226.0;8022.333333333333;6535.166666666667;7293.666666666667;6468.666666666667
C1_4_8;8020.0;6424.0;6334.0;6308.0;6424.0;6540.0;6226.0;8020.8;6535.0;7155.8;6480.0
C1_2_10;2427.6666666666665;2378.0;2262.0;2285.0;2385.6666666666665;2350.6666666666665;2172.0;2383.1666666666665;2360.8333333333335;2326.0;2280.0
C1_2_9;2471.6666666666665;2385.0;2262.0;2285.0;2385.0;2352.3333333333335;2172.0;2383.0;2360.0;2326.0;2280.0
C1_2_2;2472.3333333333335;2377.3333333333335;2262.0;2285.0;2377.3333333333335;2352.0;2172.0;2383.0;2360.0;2326.0;2280.0
