Instance;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH
HFVRP_4;60.004134237766266;60.001242488622665;60.00610715150833;60.00236713886261;60.00097692012787;60.002759635448456;60.00293555855751;60.001869797706604;60.00074851512909;600.3153920173645;60.002493530511856
HFVRP_p14;60.00282749533653;60.00224110484123;60.00157052278519;60.007999151945114;60.0018415749073;60.00154837965965;60.002392530441284;60.01734846830368;60.00688508152962;602.0190668106079;60.00168099999428
C1_2_6;60.07701127529144;60.07051820755005;60.17469708919525;60.05191502571106;60.108662724494934;60.03125569820404;60.13078832626343;60.04601967334747;60.04150152206421;60.07044003009796;60.136024188995364
CVRP_p5;61.99892342090607;60.01475349068642;60.008780002593994;60.00135272741318;60.00129625201225;60.000642985105515;85.69243115186691;60.0049883723259;60.000433832407;13080.056962966919;60.00891983509064
CVRP_4;60.00292956829071;60.00131931900978;60.00179362297058;60.00479078292847;60.00560563802719;60.00871053338051;60.011524736881256;60.00690943002701;60.00194689631462;601.0725259780884;60.0067044198513
C1_4_1;60.62743558883667;60.805183959007266;61.09486925601959;60.48997876644135;60.425592470169065;60.979395914077756;61.47310519218445;60.53370363712311;60.54434049129486;60.43070089817047;61.715935945510864
C1_6_3;60.0259202003479;61.854020807478165;65.31779692173004;61.40943355560303;61.528315091133116;60.71896505355835;61.792234897613525;60.21950633525849;62.176138973236085;60.06733663082123;61.028177809715274
C1_2_1;60.03557140827179;60.0228572845459;60.10549592971802;60.054314613342285;60.11345310211182;60.09954833984375;60.047554564476016;60.087841510772705;60.10530586242676;60.06261484622955;60.08129823207855
CVRP_p3;60.000368458884104;60.00063490867615;60.000571966171265;60.000877789088655;60.00027142252241;60.00079883847918;60.00100244794573;60.00399586132595;60.00063535145351;60.00066321236746;60.001480204718455
C1_6_2;60.01210348606109;63.034444737434384;63.700532126426694;62.21594045162201;61.439554238319396;60.81722395420074;62.00891842842102;60.015779161453246;61.314878702163696;60.0266371011734;61.21363055706024
