Instance;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;SAVINGS_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING
HFVRP_4;60.000446915626526;60.001193940639496;600.3153920173645;60.000473380088806;60.00436705350876;60.00499898195267;60.00068971514702;60.001201808452606;60.001498848199844;60.00257471203804;60.00045868754387
HFVRP_p14;60.00183022022247;60.00212177634239;602.0190668106079;60.00494763255119;60.002173483371735;60.001920849084854;60.00162145495415;60.0217319726944;60.00229358673096;60.001657009124756;60.001331984996796
C1_2_6;60.05673623085022;60.05877523422241;60.12641279697418;60.05920898914337;60.17836542129517;60.05701990127564;60.06699416637421;60.04907388687134;60.06894817352295;60.249277758598325;60.16236214637756
CVRP_p5;60.002132415771484;60.12431147694588;13080.056962966919;60.00213307142258;60.00349521636963;60.0039182305336;60.00036960840225;60.00061583518982;60.00301247835159;60.007285356521606;60.00150287151337
CVRP_4;60.003606766462326;60.006821662187576;601.0725259780884;60.004651099443436;60.000640481710434;60.013795018196106;60.000470727682114;60.0020190179348;60.00055735451834;60.00013133883476;60.00154232978821
C1_4_1;60.64721441268921;61.486805295944215;60.405146193504336;61.41778130531311;60.11338741779328;60.87705135345459;61.23095276355743;60.480718564987185;60.755535221099855;60.30108695030212;60.66301786899567
C1_6_3;61.74329583644867;60.96672072410583;60.027200198173524;62.72778565883637;61.813970756530765;60.022983360290525;61.89318346977234;65.12546105384827;61.53285224437714;60.01708266735077;62.035502576828
C1_2_1;60.02653229236603;60.04009613990784;60.16857168674469;60.09639008045197;60.02397696971893;60.18731014728546;60.027933502197264;60.053418850898744;60.05483043193817;60.06402735710144;60.02338259220123
CVRP_p3;60.00051648276193;60.000992264066426;60.00049604688372;60.000356265476775;60.00316538129534;60.00073902947562;60.00081811632429;60.0001722744533;60.00129502160208;60.0027231488909;60.00064730644226
C1_6_2;62.130923414230345;61.448542618751524;60.090271782875064;62.86222331523895;62.437719869613645;60.010398149490356;62.46428349018097;63.80212571620941;61.567555928230284;60.03761355876922;61.992096829414365
C1_4_4;60.32059464454651;61.742032289505005;60.36953206062317;60.80616645812988;60.68843972682953;60.35912899971008;61.99075400829315;60.450721454620364;60.466642999649046;60.710462760925296;60.41822528839111
CVRP_100;60.00024864408705;59.999972899754844;60.000931633843315;60.00043620003594;60.0004178682963;60.000389364030625;60.00301559766134;60.000141090816925;60.000306049982704;60.00017359521654;60.000257359610664
C1_2_5;60.05871267318726;60.09682433605194;60.10434362888336;60.09175624847412;61.915983986854556;60.134569430351256;60.136519646644594;60.08046181201935;60.12692656517029;60.133943700790404;60.02433729171753
HFVRP_1;60.000494569540024;60.00055739283562;600.1503252983093;60.0014785528183;60.000928461551666;60.000824093818665;53.66163229942322;60.00044983625412;60.0023857653141;60.00090327858925;60.001137644052505
C1_2_4;60.100147771835324;60.054547572135924;60.08150517940521;60.0865962266922;60.07842235565185;60.069704103469846;60.10823428630829;60.090179204940796;60.04548749923706;67.59413495063782;60.09041690826416
C1_6_1;61.96175982952118;61.91975963115692;60.077865791320804;60.89689192771912;61.59164831638336;60.022331070899966;61.63866872787476;64.2449108839035;61.61949183940887;60.064875745773314;61.35960726737976
CVRP_p14;60.00125667452812;60.03618150949478;60.001015573740005;60.00242930650711;60.031051725149155;60.01007431745529;329.2473923563957;60.00123566389084;60.025637954473495;60.010449171066284;60.001992613077164
C1_2_8;60.053591108322145;60.02814157009125;60.1142703294754;60.09704225063324;60.11644616127014;60.01855924129486;60.03431632518768;60.04893777370453;60.054374313354494;60.134975743293765;60.06272113323212
CVRP_1;60.00053746359689;60.002128907612395;60.00136647905622;60.00217975888933;60.00077952657427;60.0006526197706;60.00362440517971;60.000363554273335;60.00273067610605;60.002070801598684;60.00009536743164
HFVRP_p3;65.12441623210907;60.5011824965477;7696.0488176345825;60.000603675842285;60.000678926706314;60.75190535187721;60.00060912966728;60.002795577049255;60.0009129345417;148.7030627131462;60.00057011842728
HFVRP_p5;60.001768946647644;60.00125253200531;600.2647972106934;60.00152525305748;60.00059822201729;60.002189964056015;60.0027736723423;60.00056529045105;60.00071492791176;60.00135558843613;60.0054976940155
C1_4_9;246.45754759652274;60.418837138584685;60.44230679103306;60.91109899112156;60.37235147612436;60.860265493392944;70.77326185362679;61.1621070929936;60.472387484141755;60.25660007340567;60.41133281162807
C1_2_7;60.058869804654805;60.08339190483093;60.11667946406773;60.05391607965742;60.13826278277806;60.096811056137085;60.065890959330964;60.084762232644216;60.05695622307913;60.05915471485683;60.07124965531485
C1_4_10;60.0782242502485;60.982637132917134;60.418578829084126;60.07066689218794;60.00252703257969;60.85765392439706;60.695733479091096;60.1986574104854;60.62036582401821;60.29707728113447;60.69504356384277
C1_4_2;60.13899915558951;60.78983851841518;60.50697684288025;60.14772238050188;60.05251864024571;60.70361590385437;60.769859995160786;60.32212012154715;60.573996612003874;60.23051428794861;60.27256539889744
C1_4_5;60.895472867148264;61.141449621745515;60.54074140957424;60.352294308798655;60.06052466801235;60.497485297066824;61.139478410993306;60.76027396747044;60.6041590826852;60.35228405679975;60.18921954291208
C1_6_4;62.70537928740183;61.19368358453115;60.04081642627716;61.32088796297709;61.61774535973867;60.005286733309426;61.61245568593343;63.8272959391276;62.14338028430939;60.02044939994812;60.04526690642039
C1_6_5;63.60843654473623;61.6071404616038;60.03532075881958;61.312463800112404;61.97023312250773;60.01043411095937;61.59684975941976;61.90961730480194;62.21276032924652;60.02172660827637;60.53870463371277
C1_4_7;60.02496107419332;61.2399080991745;60.34277339776357;60.49704507986704;60.001880963643394;60.61262293656667;60.85680882136027;60.38517916202545;60.67651045322418;60.54229990641276;60.560074965159096
C1_4_3;60.37754873434702;60.77832571665446;60.237905383110046;60.32579882939657;60.03185327847799;60.478837052981056;60.60080885887146;60.41283722718557;60.613311648368835;60.842312932014465;60.16988714536031
C1_2_3;60.00536437829336;60.24352324008942;60.04630915323893;60.11164959271749;60.12669130166372;60.06045206387838;60.015712896982826;60.17082699139913;60.01440966129303;60.07045074303945;60.084497014681496
C1_4_6;60.25099869569143;61.0111026763916;60.4467967748642;60.07753813266754;60.15976814428965;60.698267459869385;60.85124842325846;60.839035073916115;60.641694029172264;60.36782364050547;60.097746888796486
C1_4_8;60.07698049545288;60.62044367790222;60.26014366149902;60.075162410736084;60.31661868095398;60.58822021484375;61.10802149772644;60.3561909198761;60.42600975036621;60.39155201911926;60.00208382606506
C1_2_10;60.08580756187439;60.10316010316213;60.101942459742226;60.055399894714355;60.18737804889679;60.06272772947947;60.04745558897654;60.10389534632365;60.206186612447105;60.11059061686198;60.10669366518656
C1_2_9;60.09027055899302;60.11218178272247;60.162734627723694;60.13262482484182;60.092206398646034;60.05235048135122;60.103434324264526;60.05032511552175;60.109543522199;60.0538055896759;60.005650917689
C1_2_2;60.04103374481201;60.00111186504364;60.07465902964274;60.12145404020945;60.0020527044932;60.08188466231028;60.02054715156555;60.046879371007286;60.08413211504618;60.076295932133995;60.00092772642771
