Instance;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH
HFVRP_4;3618.75;44770.0;3599.375;2788.0;3102.625;2997.75;2785.75;2995.5;2796.5;3618.5;3593.75
HFVRP_p14;8840.0;88400.0;8230.0;8660.0;8082.5;8450.0;8340.0;8360.0;8350.0;8840.0;8430.0
C1_2_6;2383.2;2367.5;2342.8;2172.0;2363.2;2316.6;2262.0;2245.4;2317.2;2432.9;2231.4
CVRP_p5;3428.25;35090.0;3371.5;3366.25;3374.0;3385.25;3387.5;3364.25;3380.5;3425.25;3386.75
CVRP_4;2969.875;30750.0;2966.75;2952.0;2965.0;2968.875;2958.0;2946.0;2968.875;2969.875;2967.375
C1_4_1;8109.8;8025.3;6546.2;6226.0;6515.5;6424.0;6319.0;6466.4;6424.3;8152.2;6334.0
C1_6_3;22030.3;46083.4;12454.7;12059.0;12932.3;12877.1;12471.8;12691.9;13001.6;25084.7;12134.0
C1_2_1;2390.9;2369.8;2341.6;2172.0;2362.1;2318.0;2262.3;2250.3;2317.6;2435.2;2231.4
CVRP_p3;3067.0;3037.714285714286;3050.0;3038.4285714285716;3036.714285714286;3042.1428571428573;3037.4285714285716;3046.1428571428573;3040.5714285714284;3055.714285714286;3083.4285714285716
C1_6_2;21309.7;45706.3;12443.0;12033.9;12929.1;12818.9;12456.0;12627.4;12926.2;24217.6;12134.0
C1_4_4;8048.4;8143.6;6546.1;6226.0;6527.1;6424.1;6319.0;6469.8;6424.0;8085.4;6334.0
CVRP_100;236.0;236.0;243.0;236.0;236.0;236.0;236.0;238.33333333333334;236.0;236.0;236.0
C1_2_5;2391.7;2367.2;2341.2;2172.0;2365.0;2317.2;2262.3;2246.0;2317.0;2432.9;2228.0
HFVRP_1;2407.0;31350.0;2410.875;2408.0;2410.0;2408.875;2404.5;2407.875;2408.5;2407.0;2415.5
C1_2_4;2390.9;2369.8;2341.2;2172.0;2365.0;2317.5;2262.0;2250.3;2317.9;2449.0;2231.4
C1_6_1;21200.0;47359.8;12461.5;12029.7;12935.5;12832.3;12442.4;12681.2;12980.9;24889.1;12134.0
CVRP_p14;8460.0;8095.0;7751.25;7950.0;7840.0;7700.0;7762.5;7850.0;7700.0;8460.0;8300.0
C1_2_8;2378.9;2368.5;2344.0;2172.0;2365.0;2317.5;2262.6;2246.0;2317.6;2449.0;2234.8
CVRP_1;1634.142857142857;1625.5714285714287;1626.0;1630.7142857142858;1627.2857142857142;1634.4285714285713;1624.0;1622.5714285714287;1631.0;1634.4285714285713;1629.857142857143
HFVRP_p3;2980.875;30670.0;2977.75;2977.375;2982.375;2984.0;2980.375;2997.875;2983.25;2980.875;2779.25
HFVRP_p5;1325.0;14250.0;1336.5;1334.625;1358.5;1337.5;1333.0;1325.0;1336.0;1325.0;1331.5
C1_4_9;8129.428571428572;8094.857142857143;6546.142857142857;6226.0;6532.142857142857;6424.142857142857;6319.0;6480.0;6424.285714285715;8184.0;6334.0
C1_2_7;2389.0;2366.0;2334.5714285714284;2172.0;2361.0;2315.5714285714284;2262.0;2231.8571428571427;2316.1428571428573;2414.0;2228.0
C1_4_10;8034.0;7129.0;6546.0;6226.0;6531.0;6424.0;6319.0;6470.285714285715;6424.0;8034.0;6334.0
C1_4_2;8034.0;7246.142857142857;6546.0;6226.0;6523.428571428572;6424.0;6319.0;6475.142857142857;6424.0;8034.0;6334.0
C1_4_5;8142.0;7986.857142857143;6546.142857142857;6226.0;6531.714285714285;6424.142857142857;6319.0;6480.0;6424.714285714285;8165.571428571428;6334.0
C1_6_4;20035.333333333332;41227.166666666664;12443.0;12071.666666666666;12918.0;12794.0;12422.0;12625.0;12813.0;23101.666666666668;12134.0
C1_6_5;20143.333333333332;39661.0;12443.0;12021.833333333334;12918.0;12794.0;12421.333333333334;12625.0;12794.0;23518.0;12134.0
C1_4_7;8034.0;7495.666666666667;6546.0;6226.0;6521.333333333333;6424.0;6319.0;6468.666666666667;6424.0;8034.0;6334.0
C1_4_3;8034.0;7437.333333333333;6546.0;6226.0;6511.666666666667;6424.0;6319.0;6468.666666666667;6424.0;8034.0;6334.0
C1_2_3;2379.0;2367.5;2340.0;2172.0;2364.3333333333335;2317.5;2262.5;2241.3333333333335;2318.1666666666665;2437.5;2233.6666666666665
C1_4_6;8034.0;7353.0;6546.0;6226.0;6522.166666666667;6424.0;6319.0;6468.666666666667;6424.0;8034.0;6334.0
C1_4_8;8034.0;7154.0;6546.0;6226.0;6531.0;6424.0;6319.0;6480.0;6424.0;8034.0;6334.0
C1_2_10;2401.0;2366.6666666666665;2340.0;2172.0;2362.6666666666665;2316.8333333333335;2262.0;2241.3333333333335;2317.5;2435.0;2228.0
C1_2_9;2379.0;2365.8333333333335;2330.0;2172.0;2361.0;2315.6666666666665;2262.0;2233.0;2315.0;2435.0;2228.0
C1_2_2;2365.0;2365.8333333333335;2335.3333333333335;2172.0;2361.0;2315.6666666666665;2262.0;2224.0;2316.3333333333335;2449.0;2228.0
