Instance;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH
HFVRP_4;60.000786542892456;600.3153920173645;60.00235167145729;60.00310796499252;60.00074630975723;60.00049552321434;60.000779420137405;60.00066810846329;60.000687062740326;60.00150537490845;60.000629127025604
HFVRP_p14;60.00203198194504;602.0190668106079;60.01207494735718;60.01922059059143;60.001809507608414;60.00672656297684;60.002584397792816;60.00217393040657;60.00187987089157;60.002410024404526;60.002085864543915
C1_2_6;60.07447419166565;60.0758472442627;60.059309697151186;60.12891383171082;60.14361414909363;60.061608290672304;60.10141577720642;60.11583480834961;60.06260824203491;60.09750125408173;60.03237369060516
CVRP_p5;60.00196325778961;13080.056962966919;60.00052583217621;216.00121477246284;60.00317844748497;60.00241446495056;60.001979529857635;60.001748234033585;60.0003744661808;60.00206971168518;60.00787118077278
CVRP_4;60.002087235450745;601.0725259780884;60.00338253378868;60.00395065546036;60.000773936510086;60.00211822986603;60.001462187085835;60.00126579403877;60.00164946913719;60.0036940574646;60.001462906599045
C1_4_1;60.375452923774716;60.3684505701065;60.54349188804626;61.06891715526581;60.90627965927124;60.04333384037018;60.77873682975769;61.00513563156128;60.7084721326828;60.985447669029234;60.34738581180572
C1_6_3;60.02156121730805;60.100866961479184;61.114696621894836;61.375473856925964;61.13510980606079;60.62766456604004;61.72340650558472;62.02920758724213;126.4357741355896;60.017786264419556;64.19560952186585
C1_2_1;60.152689814567566;60.0315447807312;60.098386073112486;60.088550782203676;60.08074414730072;60.074512934684755;60.085805559158324;60.04683759212494;60.029783844947815;60.09745502471924;60.06853759288788
CVRP_p3;60.00328128678458;60.000598090035574;60.00078797340393;60.000664302280974;60.000488008771626;60.00096188272749;60.00293632916042;60.000565903527395;60.00181147030422;60.00070527621678;60.00054049491882
C1_6_2;60.02670004367828;60.044370436668395;62.084626936912535;61.55459380149841;62.16942713260651;61.60849831104279;61.51536674499512;62.41755638122559;62.12418205738068;60.02459707260132;64.89422988891602
