Instance;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH
HFVRP_4;2788.0;2834.0;2786.75;2834.0;2827.0
HFVRP_p14;8660.0;8370.0;8631.25;8660.0;8660.0
C1_2_6;2172.0;2172.0;2172.0;2172.0;2172.0
CVRP_p5;3366.25;3390.0;3353.0;3390.0;3390.0
CVRP_4;2952.0;2977.0;2958.625;2977.0;2973.0
C1_4_1;6226.0;6226.0;6226.0;6226.0;6226.0
C1_6_3;12059.0;12059.5;12053.6;12057.0;12047.2
C1_2_1;2172.0;2172.0;2172.0;2172.0;2172.0
CVRP_p3;3038.4285714285716;3081.0;3056.714285714286;3092.0;3092.0
C1_6_2;12033.9;12034.7;12031.4;12044.8;12033.9
C1_4_4;6226.0;6226.0;6226.0;6226.0;6226.0
CVRP_100;236.0;247.0;236.0;247.0;247.0
C1_2_5;2172.0;2172.0;2172.0;2172.0;2172.0
HFVRP_1;2408.0;2415.0;2406.5;2415.0;2415.0
C1_2_4;2172.0;2172.0;2172.0;2172.0;2172.0
C1_6_1;12029.7;12034.0;12029.7;12061.1;12050.9
CVRP_p14;7950.0;7915.0;7862.5;7960.0;7960.0
C1_2_8;2172.0;2172.0;2172.0;2172.0;2172.0
CVRP_1;1630.7142857142858;1676.0;1619.5714285714287;1676.0;1676.0
HFVRP_p3;2977.375;2993.0;2980.0;2996.0;2996.0
HFVRP_p5;1334.625;1350.0;1326.375;1370.0;1367.0
C1_4_9;6226.0;6226.0;6226.0;6226.0;6226.0
C1_2_7;2172.0;2172.0;2172.0;2172.0;2172.0
C1_4_10;6226.0;6226.0;6226.0;6226.0;6226.0
C1_4_2;6226.0;6226.0;6226.0;6226.0;6226.0
C1_4_5;6226.0;6226.0;6226.0;6226.0;6226.0
C1_6_4;12071.666666666666;12018.166666666666;12024.666666666666;12020.166666666666;12018.166666666666
C1_6_5;12021.833333333334;12022.0;12021.833333333334;12021.833333333334;12021.833333333334
C1_4_7;6226.0;6226.0;6226.0;6226.0;6226.0
C1_4_3;6226.0;6226.0;6226.0;6226.0;6226.0
C1_2_3;2172.0;2172.0;2172.0;2172.0;2172.0
C1_4_6;6226.0;6226.0;6226.0;6226.0;6226.0
C1_4_8;6226.0;6226.0;6226.0;6226.0;6226.0
C1_2_10;2172.0;2172.0;2172.0;2172.0;2172.0
C1_2_9;2172.0;2172.0;2172.0;2172.0;2172.0
C1_2_2;2172.0;2172.0;2172.0;2172.0;2172.0
