Instance;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
att48;30715.0;30434.0;30715.0;30715.0;30715.0;30715.0;30715.0;30434.0;30434.0;30715.0;30434.0;30434.0;30434.0;30434.0;30434.0
pr76;103462.0;99890.0;103462.0;98335.0;98335.0;99890.0;99890.0;103462.0;103462.0;103462.0;98335.0;98335.0;99890.0;99890.0;98335.0
st70;635.0;618.0;635.0;635.0;656.0;635.0;656.0;640.0;618.0;656.0;618.0;640.0;646.0;640.0;618.0
rd100;7362.0;7472.0;7362.0;7362.0;7362.0;7472.0;7472.0;7362.0;7362.0;7362.0;7362.0;7362.0;7472.0;7472.0;7362.0
dsj1000;18520521.0;18479961.0;18354848.333333332;18465147.0;18448302.0;18077424.0;18763425.0;18505879.333333332;18279351.0;18356577.0;18437596.0;18405452.5;18718612.333333332;18614307.0;18600556.666666668
u724;41937.0;42661.5;42449.0;42269.0;43403.5;43526.5;42174.0;39784.0;45060.5;41155.5;42347.5;42056.5;40057.0;43818.5;42311.0
ch150;6060.0;6060.0;6188.0;5927.0;6168.0;6150.0;5958.0;6168.0;5958.0;6171.0;6171.0;6188.0;6171.0;5927.0;6150.0
d657;48922.333333333336;49300.333333333336;49614.666666666664;49056.333333333336;48629.0;48817.666666666664;48434.333333333336;49548.0;49651.0;49115.333333333336;49207.0;48032.333333333336;48849.333333333336;48499.666666666664;48741.0
pr107;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0
ulysses22;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0
pr124;55542.0;55392.0;55542.0;55542.0;55542.0;55542.0;55542.0;55392.0;55392.0;55542.0;55392.0;55392.0;55392.0;55392.0;55392.0
d493;32238.0;32860.0;33007.0;32490.0;32238.0;32830.0;32040.0;32938.0;32629.0;32265.0;32466.0;32526.0;33549.5;32376.0;32393.0
ulysses16;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0
