Instance;CHRISTOFIDES_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT
att48;30715.0;30434.0;30715.0;30434.0;30715.0;30434.0;30715.0;30434.0;30434.0;30715.0;30715.0;30434.0;30434.0;30434.0;30715.0
pr76;99890.0;99890.0;98335.0;103462.0;98335.0;98483.0;98335.0;98335.0;98335.0;103462.0;103462.0;99890.0;103462.0;99890.0;99890.0
st70;635.0;618.0;637.0;618.0;656.0;629.0;635.0;618.0;640.0;656.0;635.0;618.0;640.0;640.0;656.0
rd100;7472.0;7472.0;7362.0;7362.0;7362.0;7362.0;7362.0;7362.0;7362.0;7362.0;7362.0;7472.0;7362.0;7472.0;7472.0
dsj1000;18591737.666666668;18488670.333333332;18778592.666666668;18375413.333333332;18557513.5;18842354.0;18402534.0;18303696.5;18532278.0;18660152.333333332;18293553.5;18491707.0;18441935.0;18320325.0;18357248.0
u724;39871.0;40023.5;41987.5;42163.5;42460.5;39650.0;43872.0;43772.5;41867.5;42845.0;42406.5;42061.5;42536.5;42144.0;44862.5
ch150;6171.0;6168.0;5958.0;6188.0;6150.0;6280.0;6188.0;5927.0;6060.0;5927.0;6168.0;6150.0;6171.0;5958.0;6060.0
d657;49820.333333333336;49510.333333333336;49106.333333333336;49579.666666666664;48775.666666666664;45344.666666666664;48941.0;49441.333333333336;48925.0;49406.333333333336;47779.333333333336;48794.666666666664;48334.0;49604.333333333336;48101.0
pr107;41800.0;41800.0;41800.0;41800.0;41800.0;42000.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0
ulysses22;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0
pr124;55542.0;55392.0;55542.0;55392.0;55542.0;55542.0;55542.0;55392.0;55392.0;55542.0;55542.0;55392.0;55392.0;55392.0;55542.0
d493;32591.0;32287.5;33443.5;32404.0;32443.0;32343.0;32671.0;34856.0;32376.0;32063.0;32673.0;32323.0;32323.0;32535.0;32760.0
ulysses16;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0
