Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
att48;30434.0;30715.0;30434.0;30434.0;30715.0;30434.0;30715.0;30715.0;30715.0;30715.0;30715.0;30434.0;30715.0;30434.0;30434.0
pr76;98335.0;98335.0;99890.0;98335.0;98335.0;103462.0;99890.0;103462.0;98727.0;98335.0;103462.0;103462.0;99890.0;103462.0;99890.0
st70;618.0;656.0;618.0;640.0;635.0;640.0;635.0;635.0;634.0;656.0;656.0;618.0;656.0;618.0;640.0
rd100;7362.0;7362.0;7472.0;7362.0;7362.0;7362.0;7472.0;7362.0;7472.0;7362.0;7362.0;7362.0;7472.0;7362.0;7472.0
dsj1000;18422767.0;18609995.0;18423595.0;18108768.5;18278094.0;18333352.0;18512417.0;18855902.333333332;18939204.0;18320221.0;18455737.0;18833282.333333332;18421486.5;18311223.5;18663400.666666668
u724;44332.5;39851.0;42327.0;44039.5;43054.5;43373.5;44451.5;42158.5;39709.5;41520.5;43442.0;41748.5;43873.0;44958.0;41612.0
ch150;5958.0;6171.0;6171.0;6150.0;6060.0;5927.0;5958.0;6150.0;5927.0;5927.0;6188.0;6060.0;6168.0;6168.0;6188.0
d657;50154.0;49437.0;49018.666666666664;47786.0;50227.0;48659.333333333336;48698.0;48886.0;47429.0;48136.666666666664;47818.333333333336;48620.0;49263.0;50047.333333333336;48934.666666666664
pr107;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0
ulysses22;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0
pr124;55392.0;55542.0;55392.0;55392.0;55542.0;55392.0;55542.0;55542.0;57492.0;55542.0;55542.0;55392.0;55542.0;55392.0;55392.0
d493;32363.0;33483.5;32062.0;32777.0;32393.0;32938.0;32526.0;32671.0;33709.5;32629.0;33576.0;32966.0;35071.0;32834.0;32323.0
ulysses16;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;60.0;59.0;59.0;59.0;59.0;59.0;59.0
