Instance;SAVINGS_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING
att48;30715.0;30715.0;30434.0;30434.0;30434.0;30715.0;30434.0;30715.0;30434.0;30715.0;30715.0;30434.0;30434.0;30715.0;30434.0
pr76;98335.0;99890.0;103462.0;99890.0;103462.0;98335.0;97696.0;99890.0;98335.0;99890.0;103462.0;103462.0;98335.0;103462.0;99890.0
st70;635.0;635.0;618.0;618.0;640.0;656.0;649.0;656.0;640.0;656.0;635.0;640.0;618.0;656.0;640.0
rd100;7362.0;7472.0;7362.0;7472.0;7362.0;7362.0;7362.0;7472.0;7362.0;7472.0;7362.0;7362.0;7362.0;7362.0;7472.0
dsj1000;18676746.666666668;18358123.5;18242035.5;18658430.333333332;18633346.333333332;18459409.0;18574432.333333332;18433951.0;18202639.5;18527235.666666668;18267918.0;18414715.0;18469815.5;18518242.0;18217094.0
u724;41838.5;44035.5;43979.0;41694.5;39978.5;43713.0;42072.0;42244.5;44091.0;41915.5;42867.0;41771.5;42609.0;42797.0;42241.0
ch150;6168.0;6188.0;6150.0;5927.0;5958.0;5958.0;6188.0;6171.0;6171.0;6150.0;5927.0;6188.0;6060.0;6060.0;6168.0
d657;49032.333333333336;48659.333333333336;48076.666666666664;48992.0;49431.666666666664;49508.666666666664;46937.333333333336;49711.0;47713.666666666664;48371.333333333336;49543.666666666664;49377.333333333336;49315.333333333336;50079.0;48160.666666666664
pr107;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0
ulysses22;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0
pr124;55542.0;55542.0;55392.0;55392.0;55392.0;55542.0;55392.0;55542.0;55392.0;55542.0;55542.0;55392.0;55392.0;55542.0;55392.0
d493;32526.0;34695.0;32063.0;32834.0;32796.0;32336.0;33571.0;32443.0;34712.0;32527.0;32535.0;32760.0;32673.0;32063.0;32277.0
ulysses16;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0
