Instance;SWEEP_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH
att48;30715.0;30434.0;30715.0;30434.0;30434.0;30434.0;30715.0;30434.0;30434.0;30715.0;30434.0;30715.0;30715.0;30715.0;30715.0
pr76;98335.0;99890.0;99890.0;99890.0;103462.0;103462.0;98335.0;98335.0;98335.0;99890.0;98335.0;103462.0;103462.0;103462.0;99890.0
st70;656.0;618.0;656.0;640.0;640.0;618.0;635.0;640.0;640.0;635.0;618.0;656.0;635.0;646.0;635.0
rd100;7362.0;7472.0;7472.0;7472.0;7362.0;7362.0;7362.0;7362.0;7362.0;7472.0;7362.0;7362.0;7362.0;7362.0;7472.0
dsj1000;18637679.333333332;18332813.5;18413584.0;18601746.333333332;18269219.5;18554964.0;18112533.0;18324874.0;18401029.5;18416683.0;18342064.5;18387488.5;18417418.0;18763283.333333332;18605406.0
u724;40336.0;42441.5;42113.0;44352.5;43815.5;41555.5;42653.0;42061.0;42366.5;42666.0;42644.0;42507.0;44085.0;41004.5;39662.0
ch150;6188.0;6188.0;5927.0;6150.0;6060.0;6171.0;6171.0;5927.0;5958.0;6168.0;6168.0;6150.0;5958.0;6168.0;6060.0
d657;49134.0;48972.0;48674.666666666664;49187.666666666664;48814.0;48244.333333333336;49525.0;48378.666666666664;50434.0;49093.666666666664;49985.333333333336;49024.666666666664;48288.0;48290.333333333336;48687.0
pr107;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0;41800.0
ulysses22;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0
pr124;55542.0;55392.0;55542.0;55392.0;55392.0;55392.0;55542.0;55392.0;55392.0;55542.0;55392.0;55542.0;55542.0;55542.0;55542.0
d493;32443.0;32437.0;32323.0;32323.0;32594.0;32673.0;32323.0;33662.5;33043.0;32940.0;33108.0;32040.0;34989.0;33770.0;32535.0
ulysses16;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0
