Instance;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
att48;30434.0;30434.0;30434.0;30434.0;30434.0
pr76;98335.0;103462.0;98335.0;98335.0;98335.0
st70;640.0;618.0;640.0;640.0;618.0
rd100;7362.0;7362.0;7362.0;7362.0;7362.0
dsj1000;18324874.0;18242035.5;18108768.5;18532278.0;18600556.666666668
u724;42061.0;43979.0;44039.5;41867.5;42311.0
ch150;5927.0;6150.0;6150.0;6060.0;6150.0
d657;48378.666666666664;48076.666666666664;47786.0;48925.0;48741.0
pr107;41800.0;41800.0;41800.0;41800.0;41800.0
ulysses22;57.0;57.0;57.0;57.0;57.0
pr124;55392.0;55392.0;55392.0;55392.0;55392.0
d493;33662.5;32063.0;32777.0;32376.0;32393.0
ulysses16;59.0;59.0;59.0;59.0;59.0
