Instance;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH
CVRP_3;684.5;684.5;707.1;715.8;719.4;708.3;699.5;693.3;705.6;693.2;696.8;715.8;705.6;722.1;702.0
p3;904.4444444444445;903.5555555555555;904.4444444444445;906.8888888888889;904.6666666666666;905.0;905.0;904.4444444444445;904.6666666666666;906.8888888888889;904.6666666666666;896.3333333333334;900.8888888888889;898.5555555555555;906.8888888888889
p1;694.2222222222222;694.2222222222222;697.5555555555555;702.4444444444445;701.7777777777778;706.6666666666666;698.3333333333334;703.5555555555555;706.7777777777778;699.1111111111111;698.4444444444445;702.4444444444445;706.7777777777778;701.6666666666666;708.4444444444445
CVRP_5;977.5;977.5;977.5;977.5;1013.9;1013.9;1013.9;977.5;1013.9;977.5;1013.9;977.5;1013.9;1013.9;977.5
p31;599.4444444444445;599.4444444444445;599.4444444444445;599.4444444444445;598.5555555555555;598.5555555555555;598.5555555555555;599.4444444444445;598.5555555555555;599.4444444444445;598.5555555555555;599.4444444444445;598.5555555555555;598.5555555555555;599.4444444444445
CVRP_2;727.8;727.8;718.6;718.6;715.9;724.7;725.1;727.4;724.7;727.8;725.1;718.6;724.7;715.9;727.4
CVRP_100;309.9;309.9;311.3;311.3;309.8;309.4;308.4;310.9;309.4;309.9;308.4;311.3;309.4;309.8;310.9
p2;743.7777777777778;743.3333333333334;722.0;716.3333333333334;713.2222222222222;718.6666666666666;733.1111111111111;732.7777777777778;724.4444444444445;733.0;735.0;711.2222222222222;724.4444444444445;711.3333333333334;727.5555555555555
CVRP_4;955.0;955.0;955.0;978.0;970.7;975.9;975.9;955.0;970.7;978.0;970.7;978.0;970.7;975.9;978.0
CVRP_1;718.9;718.9;718.9;718.9;719.4;719.4;719.4;718.9;719.4;718.9;719.4;718.9;719.4;719.4;718.9
