Instance;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH
CVRP_3;699.5;719.4;693.3;707.1;696.8;699.5;719.4;684.5;693.3;722.1;705.6;708.3;715.8;693.2;702.0
p3;905.7777777777778;908.4444444444445;906.2222222222222;910.0;910.2222222222222;910.5555555555555;910.2222222222222;910.0;910.0;910.5555555555555;910.2222222222222;910.5555555555555;908.6666666666666;912.4444444444445;912.4444444444445
p1;698.3333333333334;701.7777777777778;703.5555555555555;697.5555555555555;698.4444444444445;698.3333333333334;701.7777777777778;694.2222222222222;703.5555555555555;701.6666666666666;706.7777777777778;706.6666666666666;702.4444444444445;699.1111111111111;708.4444444444445
CVRP_5;1013.9;1001.5;977.5;977.5;1013.9;1013.9;1013.9;977.5;977.5;1013.9;1013.9;1013.9;977.5;977.5;977.5
p31;598.5555555555555;602.5555555555555;599.4444444444445;599.4444444444445;598.5555555555555;598.5555555555555;598.5555555555555;599.4444444444445;599.4444444444445;598.5555555555555;598.5555555555555;598.5555555555555;599.4444444444445;599.4444444444445;599.4444444444445
CVRP_2;725.1;715.9;727.4;718.6;725.1;725.1;715.9;727.8;727.4;715.9;724.7;724.7;718.6;727.8;727.4
CVRP_100;308.4;309.8;310.9;311.3;308.4;308.4;309.8;309.9;310.9;309.8;309.4;309.4;311.3;309.9;310.9
p2;733.1111111111111;707.4444444444445;732.7777777777778;721.5555555555555;735.0;729.2222222222222;713.2222222222222;743.7777777777778;733.2222222222222;707.4444444444445;724.4444444444445;722.5555555555555;716.3333333333334;738.1111111111111;722.4444444444445
CVRP_4;975.9;979.4;955.0;955.0;970.7;975.9;970.7;955.0;955.0;975.9;970.7;975.9;978.0;978.0;978.0
CVRP_1;719.4;714.8;718.9;718.9;719.4;719.4;719.4;718.9;718.9;719.4;719.4;719.4;718.9;718.9;718.9
