Instance;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;SAVINGS_and_SIMULATED_ANNEALING
CVRP_3;705.6;693.2;699.5;684.5;707.1;715.8;722.1;693.3;722.1;684.5;702.0;719.4;708.3;702.0;696.8
p3;905.4444444444445;907.6666666666666;905.7777777777778;905.2222222222222;905.2222222222222;907.6666666666666;905.7777777777778;905.2222222222222;902.5555555555555;902.7777777777778;903.8888888888889;905.4444444444445;905.7777777777778;907.6666666666666;903.0
p1;706.7777777777778;699.1111111111111;698.3333333333334;694.2222222222222;697.5555555555555;702.4444444444445;701.6666666666666;703.5555555555555;701.6666666666666;694.2222222222222;708.4444444444445;701.7777777777778;706.6666666666666;708.4444444444445;698.4444444444445
CVRP_5;1013.9;977.5;1013.9;977.5;977.5;977.5;1013.9;977.5;1013.9;988.4;977.5;1013.9;1013.9;977.5;1013.9
p31;598.5555555555555;599.4444444444445;598.5555555555555;599.4444444444445;599.4444444444445;599.4444444444445;598.5555555555555;599.4444444444445;598.5555555555555;599.4444444444445;599.4444444444445;598.5555555555555;598.5555555555555;599.4444444444445;598.5555555555555
CVRP_2;724.7;727.8;725.1;727.8;718.6;718.6;715.9;727.4;715.9;727.8;727.4;715.9;724.7;727.4;725.1
CVRP_100;309.4;309.9;308.4;309.9;311.3;311.3;309.8;310.9;309.8;309.9;310.9;309.8;309.4;310.9;308.4
p2;724.4444444444445;738.1111111111111;729.2222222222222;743.3333333333334;721.5555555555555;711.2222222222222;711.3333333333334;733.2222222222222;707.4444444444445;743.7777777777778;722.4444444444445;713.2222222222222;722.5555555555555;727.5555555555555;735.0
CVRP_4;970.7;978.0;975.9;955.0;955.0;978.0;975.9;955.0;975.9;941.7;978.0;970.7;975.9;978.0;970.7
CVRP_1;719.4;718.9;719.4;718.9;718.9;718.9;719.4;718.9;719.4;718.9;718.9;719.4;719.4;718.9;719.4
