Instance;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;SWEEP_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH
CVRP_3;722.1;708.3;708.3;707.1;696.8;684.5;693.2;693.3;719.4;719.4;715.8;693.2;699.5;705.6;702.0
p3;909.6666666666666;909.6666666666666;905.8888888888889;909.1111111111111;909.3333333333334;909.1111111111111;911.5555555555555;905.3333333333334;904.1111111111111;909.3333333333334;911.5555555555555;906.7777777777778;909.6666666666666;909.3333333333334;911.5555555555555
p1;701.6666666666666;706.6666666666666;706.6666666666666;697.5555555555555;698.4444444444445;694.2222222222222;699.1111111111111;703.5555555555555;701.7777777777778;701.7777777777778;702.4444444444445;699.1111111111111;698.3333333333334;706.7777777777778;708.4444444444445
CVRP_5;1013.9;1013.9;1013.9;977.5;1013.9;977.5;977.5;977.5;1013.9;1013.9;977.5;977.5;1013.9;1013.9;977.5
p31;598.5555555555555;598.5555555555555;598.5555555555555;599.4444444444445;598.5555555555555;599.4444444444445;599.4444444444445;599.4444444444445;598.5555555555555;598.5555555555555;599.4444444444445;599.4444444444445;598.5555555555555;598.5555555555555;599.4444444444445
CVRP_2;715.9;724.7;724.7;718.6;725.1;727.8;727.8;727.4;715.9;715.9;718.6;727.8;725.1;724.7;727.4
CVRP_100;309.8;309.4;309.4;311.3;308.4;309.9;309.9;310.9;309.8;309.8;311.3;309.9;308.4;309.4;310.9
p2;711.3333333333334;718.6666666666666;722.5555555555555;722.0;735.0;743.3333333333334;733.0;733.2222222222222;713.2222222222222;713.2222222222222;711.2222222222222;738.1111111111111;729.2222222222222;724.4444444444445;727.5555555555555
CVRP_4;975.9;975.9;975.9;955.0;970.7;955.0;978.0;955.0;970.7;970.7;978.0;978.0;975.9;970.7;978.0
CVRP_1;719.4;719.4;719.4;718.9;719.4;718.9;718.9;718.9;719.4;719.4;718.9;718.9;719.4;719.4;718.9
