Instance;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
C1_4_1;7430.0;7385.0;7083.0;7221.0;7430.0;7221.0;7354.0;7354.0;7116.0;7430.0;7407.0;6998.0;7116.0;6998.0;7083.0
C1_2_7;2532.0;2428.0;2374.0;2591.0;2532.0;2602.0;2350.0;2546.0;2635.0;2602.0;2591.0;2374.0;2428.0;2538.0;2546.0
C1_4_10;7081.0;7364.0;7254.0;7226.0;7471.0;7300.0;7385.0;7424.0;7333.0;7257.0;7114.0;7241.0;6954.0;7333.0;7186.0
C1_4_2;7635.0;7749.0;7878.0;7889.0;7590.0;7914.0;7844.0;7455.0;7846.0;7924.0;7617.0;7145.0;7683.0;7747.0;7463.0
C1_4_9;7191.0;7172.0;7048.0;6947.0;7489.0;7157.0;7411.0;7128.0;7214.0;7280.0;7258.0;7280.0;7333.0;7127.0;7409.0
C1_2_5;2732.0;2824.0;2732.0;2732.0;2824.0;2824.0;2732.0;2824.0;2824.0;2732.0;2824.0;2824.0;2732.0;2732.0;2732.0
C1_2_4;2464.0;2468.0;2464.0;2641.0;2661.0;2621.0;2480.0;2437.0;2602.0;2569.0;2790.0;2528.0;2493.0;2461.0;2534.0
C1_2_8;2764.0;2487.0;2793.0;2793.0;2487.0;2487.0;2793.0;2487.0;2487.0;2793.0;2483.0;2487.0;2793.0;2793.0;2793.0
C1_4_5;7921.0;7921.0;7921.0;7921.0;7921.0;7921.0;7921.0;7921.0;7921.0;7921.0;7921.0;7921.0;7921.0;7921.0;7921.0
C1_6_1;14210.6;14164.2;14445.1;14324.8;14417.0;14346.5;14525.9;14337.3;14094.4;14331.0;14255.1;14158.3;14380.5;14366.8;14265.0
C1_2_3;2660.0;2585.0;2814.0;2708.0;2654.0;2611.0;2603.0;2554.0;2618.0;2592.0;2756.0;2756.0;2660.0;2631.0;2592.0
C1_6_3;15108.4;15523.4;15216.2;15220.3;15232.9;15393.2;14976.2;15152.1;15276.7;14981.9;15039.4;14788.2;15064.3;14814.4;15046.3
C1_2_10;2457.0;2612.0;2565.0;2413.0;2493.0;2528.0;2596.0;2460.0;2608.0;2673.0;2815.0;2509.0;2430.0;2568.0;2382.0
C1_2_9;2503.0;2784.0;2704.0;2776.0;2731.0;2517.0;2522.0;2485.0;2584.0;2485.0;2607.0;2776.0;2731.0;2485.0;2568.0
C1_2_6;2876.0;2585.0;2412.0;2412.0;2592.0;2363.0;2674.0;2363.0;2852.0;2642.0;2653.0;2852.0;2674.0;2642.0;2586.0
C1_4_6;7775.0;7651.0;7331.0;7745.0;7930.0;7350.0;7656.0;7514.0;7531.0;7620.0;7698.0;7809.0;7650.0;7432.0;7283.0
C1_4_4;7052.0;7222.0;7200.0;7205.6;7185.1;7298.0;7118.3;7322.7;7312.9;7235.8;7064.0;7264.5;7060.4;7298.9;7228.0
C1_2_2;2571.0;2740.0;2580.0;2516.0;2687.0;2516.0;2780.0;2628.0;2673.0;2657.0;2550.0;2522.0;2553.0;2554.0;2777.0
C1_6_5;14871.2;14954.5;14928.6;14785.2;14761.3;14594.6;14907.6;14765.9;14717.8;14861.0;14730.8;14820.0;14703.3;14715.0;14764.6
C1_2_1;2499.0;2777.0;2667.0;3032.0;2696.0;2671.0;3026.0;2777.0;2480.0;3026.0;2696.0;2671.0;2667.0;2499.0;3032.0
C1_4_3;7528.0;7810.0;7994.0;7774.0;7530.0;7417.0;7590.0;7582.0;7903.0;7566.0;7596.0;7679.0;7782.0;7260.0;7389.0
C1_6_2;15339.0;15392.7;15105.1;15292.1;15205.7;15193.5;15416.2;15029.8;15227.8;15570.0;15370.2;15154.5;15229.0;15316.9;15328.5
C1_4_7;7078.0;7622.0;7488.0;7347.0;7186.0;7636.0;7479.0;7262.0;7687.0;7596.0;7637.0;8079.0;7792.0;7599.0;7226.0
C1_6_4;13949.4;13809.6;13833.7;14013.2;13954.4;13750.5;13866.9;14023.9;13832.2;13929.6;13933.6;13903.0;13880.6;14087.3;14215.9
C1_4_8;7397.0;7564.0;7812.0;7273.0;7579.0;7659.0;7822.0;8198.0;7170.0;7404.0;7018.0;7388.0;7443.0;7319.0;7608.0
