Instance;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;CHRISTOFIDES_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT
C1_4_1;7470.0;7098.0;6997.0;7537.0;7647.0;7647.0;7447.0;6997.0;7098.0;7257.0;7470.0;7230.0;7572.0;7246.0;7158.0
C1_2_7;2602.0;2374.0;2591.0;2602.0;2428.0;2635.0;2718.0;2350.0;2538.0;2374.0;2532.0;2546.0;2350.0;2546.0;2428.0
C1_4_10;7257.0;7241.0;7226.0;7467.0;6954.0;7385.0;7165.0;7153.0;7447.0;7219.0;7471.0;7434.0;7196.0;7424.0;7174.0
C1_4_2;7423.0;7755.0;7440.0;7802.0;7801.0;7528.0;7846.0;7246.0;7700.0;7263.0;7731.0;7747.0;7819.0;7845.0;7590.0
C1_4_9;7266.0;7476.0;7199.0;7078.0;7237.0;7312.0;7190.0;7143.0;7227.0;7167.0;7186.0;7484.0;7489.0;7168.0;7376.0
C1_2_5;2824.0;2732.0;2824.0;2732.0;2824.0;2732.0;2724.0;2732.0;2824.0;2824.0;2732.0;2824.0;2824.0;2732.0;2732.0
C1_2_4;2590.0;2431.0;2385.0;2532.0;2499.0;2643.0;2629.0;2389.0;2701.0;2592.0;2519.0;2310.0;2611.0;2401.0;2610.0
C1_2_8;2487.0;2793.0;2487.0;2793.0;2487.0;2793.0;2620.0;2793.0;2487.0;2487.0;2793.0;2643.0;2487.0;2793.0;2597.0
C1_4_5;7470.0;7470.0;7470.0;7470.0;7470.0;7470.0;7611.0;7470.0;7470.0;7470.0;7470.0;7470.0;7470.0;7470.0;7470.0
C1_6_1;14251.1;14318.5;14022.1;14528.3;14476.8;14368.3;14655.7;14290.1;14278.1;14021.4;14255.2;14329.3;14313.3;14439.8;14406.1
C1_2_3;2611.0;2814.0;2756.0;2631.0;2585.0;2708.0;2814.0;2603.0;2554.0;2618.0;2660.0;2611.0;2654.0;2592.0;2603.0
C1_6_3;14755.7;14955.9;15223.2;14919.0;15108.9;15082.7;15537.4;15041.2;15008.6;15048.4;15058.6;15097.2;15118.2;15151.5;15022.6
C1_2_10;2568.0;2608.0;2565.0;2408.0;2596.0;2426.0;2461.0;2493.0;2622.0;2735.0;2612.0;2493.0;2381.0;2528.0;2394.0
C1_2_9;2485.0;2776.0;2776.0;2650.0;2731.0;2550.0;2664.0;2731.0;2597.0;2555.0;2447.0;2636.0;2541.0;2485.0;2451.0
C1_2_6;2363.0;2412.0;2852.0;2610.0;2592.0;2412.0;2701.0;2674.0;2363.0;2829.0;2674.0;2702.0;2592.0;2642.0;2846.0
C1_4_6;7676.0;7964.0;7452.0;7876.0;7798.0;7646.0;7435.0;7831.0;7518.0;7358.0;7225.0;7423.0;7816.0;7303.0;7676.0
C1_4_4;7188.3;7181.7;7076.8;7110.0;7164.1;7294.5;7149.0;7316.1;7229.0;7251.0;7245.4;7259.0;7107.0;7251.7;7072.0
C1_2_2;2491.0;2651.0;2568.0;2476.0;2499.0;2799.0;2467.0;2608.0;2633.0;2613.0;2666.0;2593.0;2486.0;2569.0;2901.0
C1_6_5;14733.8;14837.3;14856.8;14640.7;14873.8;14854.6;15499.6;14859.1;14829.4;14821.2;14823.2;14816.4;14797.2;14948.9;14820.9
C1_2_1;2696.0;2499.0;2671.0;2499.0;2480.0;3032.0;2481.0;3032.0;2777.0;2480.0;2667.0;2671.0;2696.0;3026.0;3026.0
C1_4_3;7430.0;7657.0;7822.0;7506.0;7460.0;7837.0;7596.0;7813.0;7421.0;7511.0;7950.0;7645.0;7555.0;7813.0;7458.0
C1_6_2;15267.0;15323.0;15117.3;15650.5;15065.9;15347.6;15114.0;15126.8;15474.6;15278.7;15444.7;15307.8;15226.0;15265.8;15277.9
C1_4_7;7448.0;7706.0;7311.0;7712.0;7829.0;7390.0;7512.0;7445.0;7659.0;7204.0;7546.0;7707.0;7408.0;7572.0;7665.0
C1_6_4;13913.8;13972.7;14145.0;13880.3;13835.1;14006.4;13587.0;13935.8;13931.8;14001.9;13861.4;13961.9;13849.1;14054.9;14077.5
C1_4_8;7461.0;7585.0;7570.0;7976.0;7806.0;7368.0;7268.0;7669.0;7636.0;7441.0;7690.0;7637.0;7266.0;8012.0;7593.0
