Instance;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;SAVINGS_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING
C1_4_1;6976.0;7201.0;7252.0;7283.0;7435.0;7430.0;6976.0;7316.0;7283.0;7435.0;7830.0;7206.0;6899.0;7430.0;7830.0
C1_2_7;2350.0;2602.0;2635.0;2532.0;2591.0;2538.0;2591.0;2538.0;2374.0;2602.0;2635.0;2350.0;2532.0;2428.0;2546.0
C1_4_10;7153.0;7172.0;7324.0;7471.0;7226.0;7333.0;7067.0;7270.0;7241.0;7257.0;7333.0;7177.0;7007.0;7249.0;7116.0
C1_4_2;7246.0;7423.0;7156.0;7590.0;7889.0;7659.0;7596.0;7417.0;7573.0;7586.0;7843.0;7661.0;7516.0;7629.0;7395.0
C1_4_9;7509.0;7451.0;7437.0;7279.0;7297.0;7337.0;7770.0;7338.0;7155.0;7300.0;7482.0;7523.0;7208.0;7438.0;7440.0
C1_2_5;2732.0;2732.0;2732.0;2824.0;2732.0;2732.0;2824.0;2824.0;2732.0;2824.0;2824.0;2824.0;2732.0;2824.0;2732.0
C1_2_4;2515.0;2440.0;2687.0;2531.0;2436.0;2429.0;2460.0;2550.0;2590.0;2574.0;2558.0;2562.0;2637.0;2439.0;2549.0
C1_2_8;2793.0;2665.0;2409.0;2487.0;2793.0;2793.0;2487.0;2487.0;2793.0;2487.0;2487.0;2601.0;2793.0;2487.0;2793.0
C1_4_5;7463.0;7606.0;7463.0;7463.0;7463.0;7463.0;7463.0;7463.0;7463.0;7463.0;7463.0;7463.0;7463.0;7463.0;7463.0
C1_6_1;14361.4;14186.3;14331.9;14435.0;14248.5;14477.7;14358.2;14371.1;14308.3;14356.4;14242.3;14422.2;14305.1;14305.4;14224.3
C1_2_3;2660.0;2592.0;2814.0;2585.0;2814.0;2592.0;2618.0;2611.0;2708.0;2554.0;2756.0;2585.0;2603.0;2654.0;2631.0
C1_6_3;14804.0;15087.8;15347.1;15131.5;14788.0;14891.5;15221.0;15479.7;14973.9;14860.4;15442.1;15365.7;15099.4;15087.5;14799.0
C1_2_10;2617.0;2548.0;2493.0;2381.0;2426.0;2408.0;2509.0;2555.0;2553.0;2789.0;2510.0;2404.0;2430.0;2683.0;2673.0
C1_2_9;2731.0;2654.0;2510.0;2731.0;2776.0;2485.0;2526.0;2755.0;2407.0;2485.0;2776.0;2528.0;2427.0;2488.0;2540.0
C1_2_6;2674.0;2517.0;2758.0;2592.0;2412.0;2642.0;2852.0;2682.0;2412.0;2363.0;2852.0;2827.0;2674.0;2592.0;2642.0
C1_4_6;7333.0;7438.0;7870.0;7784.0;7844.0;7382.0;7599.0;7352.0;7707.0;7776.0;7653.0;7839.0;7663.0;7640.0;7759.0
C1_4_4;7402.7;7280.0;7412.0;6928.1;7011.2;7040.5;7278.0;7218.0;7192.0;7205.1;7230.0;7273.0;7037.0;7294.9;7299.5
C1_2_2;2613.0;2456.0;2687.0;2799.0;2633.0;2486.0;2553.0;2516.0;2607.0;2901.0;2476.0;2760.0;2628.0;2657.0;2522.0
C1_6_5;14716.3;14760.7;14901.5;14562.3;14750.7;14813.7;14805.5;14701.2;14771.4;14870.6;14682.7;14828.0;14743.9;14721.8;14974.3
C1_2_1;2499.0;2981.0;2499.0;2777.0;2667.0;3032.0;2777.0;2696.0;3026.0;2480.0;2696.0;2480.0;3032.0;2671.0;2667.0
C1_4_3;7562.0;7489.0;7679.0;7697.0;7318.0;7375.0;7483.0;7618.0;7150.0;7324.0;7691.0;7373.0;7642.0;7756.0;7422.0
C1_6_2;15332.3;15410.7;15270.1;15206.0;15227.3;15168.8;15527.9;15106.8;15460.4;15427.0;15002.5;15417.6;15271.6;15417.2;15440.3
C1_4_7;7395.0;7865.0;7642.0;7219.0;7606.0;7411.0;7561.0;7451.0;7393.0;7440.0;7602.0;7103.0;7374.0;7599.0;7735.0
C1_6_4;13858.0;13814.3;13914.1;13987.4;13896.4;13836.4;14051.6;13938.2;13860.3;13935.0;13847.8;13934.8;13896.8;13859.9;13958.7
C1_4_8;7304.0;7690.0;7401.0;7594.0;7369.0;7927.0;7500.0;7405.0;7419.0;7542.0;7466.0;7634.0;7419.0;7675.0;7588.0
