Instance;BEST_INSERTION_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;SWEEP_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH
C1_4_1;7059.0;7538.0;7059.0;7185.0;7288.0;7288.0;7538.0;7083.0;7078.0;6999.0;7213.0;7185.0;7327.0;7173.0;7083.0
C1_2_7;2602.0;2374.0;2591.0;2428.0;2350.0;2546.0;2532.0;2428.0;2538.0;2546.0;2635.0;2635.0;2532.0;2591.0;2538.0
C1_4_10;7091.0;7128.0;7226.0;6954.0;7153.0;7424.0;7471.0;7172.0;7016.0;7019.0;7285.0;7333.0;7342.0;7442.0;7333.0
C1_4_2;7729.0;7246.0;7371.0;7801.0;7635.0;7845.0;7491.0;7853.0;7586.0;7693.0;7439.0;7617.0;6996.0;7530.0;7402.0
C1_4_9;7368.0;7014.0;7299.0;7535.0;7060.0;7302.0;7273.0;6990.0;7173.0;7186.0;7222.0;7289.0;7168.0;7251.0;7423.0
C1_2_5;2732.0;2824.0;2824.0;2824.0;2824.0;2732.0;2732.0;2732.0;2732.0;2824.0;2824.0;2732.0;2824.0;2732.0;2824.0
C1_2_4;2576.0;2430.0;2528.0;2426.0;2685.0;2605.0;2488.0;2691.0;2608.0;2546.0;2429.0;2640.0;2661.0;2513.0;2544.0
C1_2_8;2793.0;2487.0;2487.0;2487.0;2487.0;2793.0;2793.0;2793.0;2649.0;2487.0;2518.0;2793.0;2452.0;2793.0;2487.0
C1_4_5;7777.0;7777.0;7777.0;7777.0;7777.0;7777.0;7777.0;7777.0;7777.0;7777.0;7777.0;7777.0;7777.0;7777.0;7777.0
C1_6_1;14300.7;14409.5;14249.9;14323.4;14420.2;14339.7;14405.5;14368.5;14427.4;14249.8;14199.9;14321.8;14474.4;14209.3;14390.4
C1_2_3;2592.0;2756.0;2618.0;2654.0;2585.0;2631.0;2603.0;2660.0;2631.0;2554.0;2618.0;2814.0;2654.0;2708.0;2611.0
C1_6_3;15314.1;15065.1;15376.5;15298.8;15256.5;15355.7;15136.2;14846.4;15106.1;15177.2;15154.5;15119.2;15320.7;14959.4;15392.0
C1_2_10;2460.0;2413.0;2553.0;2617.0;2430.0;2789.0;2683.0;2493.0;2452.0;2568.0;2663.0;2509.0;2534.0;2653.0;2673.0
C1_2_9;2561.0;2596.0;2776.0;2731.0;2731.0;2485.0;2731.0;2720.0;2702.0;2651.0;2588.0;2776.0;2538.0;2501.0;2485.0
C1_2_6;2642.0;2852.0;2852.0;2592.0;2592.0;2642.0;2674.0;2674.0;2603.0;2363.0;2569.0;2412.0;2503.0;2837.0;2363.0
C1_4_6;7958.0;7521.0;7571.0;7922.0;7662.0;7443.0;7797.0;7824.0;7764.0;7769.0;7613.0;7429.0;7296.0;7684.0;7734.0
C1_4_4;6870.1;7212.9;7055.9;7079.3;6950.0;7179.9;7143.0;7271.0;7145.0;7023.0;7132.0;7415.8;7160.0;7288.0;7305.4
C1_2_2;2616.0;2608.0;2684.0;2648.0;2645.0;2536.0;2588.0;2491.0;2496.0;2651.0;2650.0;2664.0;2569.0;2499.0;2532.0
C1_6_5;14761.3;14724.0;14629.7;14652.0;14891.2;14877.7;14919.3;14800.2;14814.4;14838.3;14902.2;14591.2;14799.3;14860.3;14648.0
C1_2_1;3032.0;2696.0;2480.0;2696.0;2777.0;2499.0;3026.0;2499.0;2667.0;2480.0;2720.0;2667.0;2671.0;3026.0;2671.0
C1_4_3;7952.0;7257.0;7772.0;7734.0;7715.0;7502.0;7857.0;7580.0;7708.0;7491.0;8028.0;7655.0;7532.0;7728.0;7593.0
C1_6_2;15383.5;15226.9;15175.3;15290.2;15084.4;15285.5;15296.2;15589.2;15424.9;15188.6;15176.1;15259.1;15430.0;15441.4;15247.6
C1_4_7;7600.0;7595.0;7358.0;7312.0;7693.0;7186.0;7351.0;7632.0;7700.0;7828.0;7619.0;7215.0;7075.0;7423.0;7245.0
C1_6_4;13896.0;13878.5;13992.3;14025.8;13818.3;13819.4;14041.4;13953.4;13876.0;13866.5;13974.9;13845.5;13756.3;13980.6;14015.8
C1_4_8;7362.0;7517.0;7589.0;7257.0;7581.0;7332.0;7278.0;7500.0;7853.0;7449.0;7429.0;7480.0;7650.0;7367.0;7389.0
