Instance;SWEEP_and_TABU_SEARCH;SWEEP_and_SIMULATED_ANNEALING;SAVINGS_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH
C1_4_1;6999.0;6899.0;7252.0;7470.0;6998.0
C1_2_7;2546.0;2532.0;2350.0;2602.0;2538.0
C1_4_10;7019.0;7007.0;7215.0;7257.0;7333.0
C1_4_2;7693.0;7516.0;7548.0;7423.0;7747.0
C1_4_9;7186.0;7208.0;7240.0;7266.0;7127.0
C1_2_5;2824.0;2732.0;2732.0;2824.0;2732.0
C1_2_4;2546.0;2637.0;2587.0;2590.0;2461.0
C1_2_8;2487.0;2793.0;2793.0;2487.0;2793.0
C1_4_5;7777.0;7463.0;7430.0;7470.0;7921.0
C1_6_1;14249.8;14305.1;14264.5;14251.1;14366.8
C1_2_3;2554.0;2603.0;2660.0;2611.0;2631.0
C1_6_3;15177.2;15099.4;14857.7;14755.7;14814.4
C1_2_10;2568.0;2430.0;2388.0;2568.0;2568.0
C1_2_9;2651.0;2427.0;2760.0;2485.0;2485.0
C1_2_6;2363.0;2674.0;2811.0;2363.0;2642.0
C1_4_6;7769.0;7663.0;7532.0;7676.0;7432.0
C1_4_4;7023.0;7037.0;7058.0;7188.3;7298.9
C1_2_2;2651.0;2628.0;2532.0;2491.0;2554.0
C1_6_5;14838.3;14743.9;14758.4;14733.8;14715.0
C1_2_1;2480.0;3032.0;2667.0;2696.0;2499.0
C1_4_3;7491.0;7642.0;7450.0;7430.0;7260.0
C1_6_2;15188.6;15271.6;15143.4;15267.0;15316.9
C1_4_7;7828.0;7374.0;7456.0;7448.0;7599.0
C1_6_4;13866.5;13896.8;13914.2;13913.8;14087.3
C1_4_8;7449.0;7419.0;7484.0;7461.0;7319.0
