Instance;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
HFVRP_4;4507.0;4510.0;4507.0;4507.0;3747.0;4507.0;3747.0;4504.0;4510.0;3747.0;4510.0;4504.0;4504.0;4504.0;4510.0
C1_4_9;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7245.0;7249.0;7333.0;7249.0;7245.0
C1_6_4;14631.7;14575.9;14624.5;14419.0;14917.7;14621.0;14334.9;14984.7;14332.6;14417.2;14379.2;14634.6;14232.8;14323.7;14658.5
C1_6_5;14507.0;14642.0;14659.2;14298.0;14941.5;14609.0;14195.4;14919.5;14194.2;14378.9;14297.3;14679.7;14234.9;14361.5;14638.6
C1_2_7;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0;2829.0;2793.0;2793.0;2829.0;2793.0;2793.0;2793.0;2793.0;2793.0
C1_4_10;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7245.0;7249.0;7333.0;7249.0;7245.0
HFVRP_p14;9591.2;9537.6;9458.7;9665.1;9454.3;9736.3;9443.5;9684.3;9423.1;9547.8;9406.0;9556.6;9392.8;9657.6;9511.4
C1_2_6;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0;2829.0;2793.0;2793.0;2829.0;2793.0;2793.0;2793.0;2793.0;2793.0
CVRP_p5;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0
CVRP_4;3916.0;3948.0;3973.0;3916.0;3946.0;3916.0;3946.0;3935.0;3948.0;3946.0;3948.0;3935.0;3954.0;3935.0;3948.0
C1_4_7;7258.8;7245.0;7249.0;7249.0;7260.0;7261.7;7249.0;7249.0;7255.2;7249.0;7256.4;7265.4;7333.0;7261.7;7245.0
C1_4_1;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7245.0;7249.0;7333.0;7249.0;7245.0
C1_6_3;14649.2;14541.7;14598.2;14361.7;14964.7;14687.9;14295.5;14917.2;14273.2;14367.1;14292.0;14565.6;14293.9;14314.2;14697.9
C1_2_1;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0;2829.0;2793.0;2793.0;2829.0;2793.0;2793.0;2793.0;2793.0;2793.0
CVRP_p3;4133.0;4172.0;4133.0;4133.0;4133.0;4133.0;4133.0;4172.0;4172.0;4133.0;4172.0;4172.0;4172.0;4172.0;4172.0
C1_6_2;14666.5;14604.4;14684.9;14267.4;14897.0;14627.4;14286.0;14948.0;14331.3;14339.9;14369.7;14667.6;14232.8;14361.2;14656.5
C1_4_4;7274.4;7256.8;7275.4;7258.8;7268.6;7260.0;7257.5;7261.3;7258.5;7261.7;7265.4;7258.4;7334.3;7271.0;7260.9
C1_2_5;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0;2829.0;2793.0;2793.0;2829.0;2793.0;2793.0;2793.0;2793.0;2793.0
C1_4_3;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7245.0;7249.0;7333.0;7249.0;7245.0
HFVRP_1;3241.0;3241.0;3241.0;3241.0;3241.0;3241.0;3241.0;3241.0;3241.0;3241.0;3241.0;3241.0;3254.0;3241.0;3241.0
C1_4_2;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7245.0;7249.0;7333.0;7249.0;7245.0
C1_2_3;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0;2829.0;2793.0;2793.0;2829.0;2793.0;2793.0;2793.0;2793.0;2793.0
C1_4_6;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7256.2;7249.0;7333.0;7249.0;7245.0
C1_4_8;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7245.0;7249.0;7333.0;7249.0;7245.0
C1_2_10;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0;2829.0;2793.0;2793.0;2829.0;2793.0;2793.0;2793.0;2793.0;2793.0
C1_2_4;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0;2829.0;2793.0;2793.0;2829.0;2793.0;2793.0;2793.0;2793.0;2793.0
C1_6_1;14628.8;14543.5;14652.1;14359.3;14844.6;14651.6;14322.6;14965.0;14321.6;14367.3;14397.0;14564.5;14247.6;14426.4;14596.3
CVRP_p14;9538.2;9517.5;9575.9;9377.2;9353.8;9558.2;9532.2;9559.4;9536.6;9554.0;9371.1;9377.6;9550.5;9554.9;9393.3
C1_2_8;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0;2829.0;2793.0;2793.0;2829.0;2793.0;2793.0;2793.0;2793.0;2793.0
C1_2_9;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0;2829.0;2793.0;2793.0;2829.0;2793.0;2793.0;2793.0;2793.0;2793.0
C1_2_2;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0;2829.0;2793.0;2793.0;2829.0;2793.0;2793.0;2793.0;2793.0;2793.0
CVRP_1;2158.0;2152.0;2158.0;2158.0;2158.0;2158.0;2158.0;2152.0;2152.0;2158.0;2152.0;2152.0;2152.0;2152.0;2152.0
HFVRP_p3;4037.0;4048.0;4037.0;4037.0;4038.0;4037.0;4038.0;4039.0;4048.0;4038.0;4048.0;4039.0;4039.0;4039.0;4048.0
C1_4_5;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7245.0;7249.0;7333.0;7249.0;7245.0
HFVRP_p5;1542.0;1520.0;1542.0;1542.0;1542.0;1542.0;1542.0;1520.0;1520.0;1542.0;1520.0;1520.0;1542.0;1520.0;1520.0
