Instance;CHRISTOFIDES_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT
HFVRP_4;4507.0;4510.0;4507.0;4510.0;3747.0;4527.0;4507.0;4510.0;4504.0;3747.0;4507.0;4510.0;4504.0;4504.0;3747.0
C1_4_9;7249.0;7245.0;7250.0;7245.0;7249.0;7346.0;7249.0;7245.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0;7249.0
C1_6_4;14310.1;14898.6;14286.0;14642.8;14636.5;14643.2;14671.6;14314.0;14542.1;14344.0;14937.1;14607.9;14353.8;14274.9;14629.3
C1_6_5;14340.0;14920.0;14217.0;14721.3;14613.5;14643.1;14630.3;14342.1;14642.0;14329.7;14931.2;14673.3;14359.1;14211.5;14570.7
C1_2_7;2829.0;2793.0;2829.0;2793.0;2829.0;2873.0;2829.0;2793.0;2793.0;2829.0;2829.0;2793.0;2793.0;2793.0;2829.0
C1_4_10;7249.0;7245.0;7250.0;7245.0;7249.0;7346.0;7249.0;7245.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0;7249.0
HFVRP_p14;9434.6;9377.7;9614.3;9471.8;9417.1;9486.0;9736.3;9537.6;9493.2;9377.1;9665.1;9423.1;9556.6;9652.8;9547.8
C1_2_6;2829.0;2793.0;2829.0;2793.0;2829.0;2873.0;2829.0;2793.0;2793.0;2829.0;2829.0;2793.0;2793.0;2793.0;2829.0
CVRP_p5;4581.0;4581.0;4581.0;4581.0;4581.0;4583.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0
CVRP_4;3916.0;3940.0;3980.0;3948.0;3946.0;3956.0;3916.0;3948.0;3935.0;3946.0;3916.0;3948.0;3935.0;3935.0;3946.0
