Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
HFVRP_4;4510.0;3747.0;4510.0;4504.0;4507.0;4504.0;4507.0;4507.0;3730.0;3747.0;3747.0;4510.0;3747.0;4510.0;4504.0
C1_4_9;7245.0;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7249.0;7329.0;7249.0;7249.0;7245.0;7249.0;7245.0;7249.0
C1_6_4;14264.4;14357.2;14397.0;14618.6;14590.9;14297.1;14302.9;14696.5;14821.6;14419.3;14654.7;14593.1;14929.5;14924.8;14712.4
C1_6_5;14292.9;14359.6;14310.4;14642.9;14528.9;14314.9;14258.8;14554.4;14842.3;14259.0;14577.9;14603.2;14929.5;15010.3;14672.4
C1_2_7;2793.0;2829.0;2793.0;2793.0;2829.0;2793.0;2829.0;2829.0;2830.0;2829.0;2829.0;2793.0;2829.0;2793.0;2793.0
C1_4_10;7245.0;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7249.0;7329.0;7249.0;7249.0;7245.0;7249.0;7245.0;7249.0
HFVRP_p14;9368.0;9470.5;9471.8;9652.8;9461.1;9498.7;9665.1;9589.9;9506.0;9547.8;9417.1;9407.8;9364.9;9537.6;9650.9
C1_2_6;2793.0;2829.0;2793.0;2793.0;2829.0;2793.0;2829.0;2829.0;2830.0;2829.0;2829.0;2793.0;2829.0;2793.0;2793.0
CVRP_p5;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4616.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0
CVRP_4;3948.0;3983.0;3948.0;3935.0;3916.0;3935.0;3916.0;3916.0;3980.0;3946.0;3946.0;3983.0;3946.0;3948.0;3935.0
