Instance;SAVINGS_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING
HFVRP_4;4507.0;4507.0;4510.0;4510.0;4504.0;3747.0;4510.0;3747.0;4504.0;3747.0;4507.0;4504.0;4510.0;3747.0;4504.0
C1_4_9;7249.0;7249.0;7245.0;7245.0;7249.0;7249.0;7455.0;7249.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0
C1_6_4;14879.9;14696.8;14591.2;14348.9;14230.6;14338.1;14475.8;14314.0;14396.7;14664.4;14373.1;14560.1;14602.0;14648.0;14906.9
C1_6_5;14947.1;14620.1;14647.0;14362.0;14161.6;14223.9;14487.4;14342.1;14351.9;14632.7;14256.4;14707.9;14641.5;14536.9;14993.5
C1_2_7;2829.0;2829.0;2793.0;2793.0;2793.0;2829.0;2793.0;2829.0;2793.0;2829.0;2829.0;2793.0;2793.0;2829.0;2793.0
C1_4_10;7249.0;7249.0;7245.0;7245.0;7249.0;7249.0;7455.0;7249.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0
HFVRP_p14;9682.0;9591.2;9406.0;9400.6;9548.5;9364.9;9374.6;9417.1;9657.6;9532.0;9461.1;9652.8;9471.8;9444.8;9498.7
C1_2_6;2829.0;2829.0;2793.0;2793.0;2793.0;2829.0;2793.0;2829.0;2793.0;2829.0;2829.0;2793.0;2793.0;2829.0;2793.0
CVRP_p5;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4534.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0
CVRP_4;3916.0;3916.0;3948.0;3948.0;3964.0;3946.0;3928.0;3946.0;3935.0;3981.0;3916.0;3935.0;3948.0;3946.0;3935.0
