Instance;SWEEP_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH
HFVRP_4;3747.0;4510.0;3747.0;4504.0;4504.0;4510.0;4507.0;4504.0;4504.0;4507.0;4510.0;3747.0;4507.0;3747.0;4507.0
C1_4_9;7249.0;7245.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0;7393.0;7249.0
C1_6_4;14639.6;14647.0;14359.3;14564.8;14586.6;14328.8;14367.3;14402.3;14332.6;14943.9;14949.0;14681.8;14262.4;14789.2;14646.4
C1_6_5;14685.0;14681.9;14279.3;14609.8;14558.3;14299.4;14361.1;14310.2;14276.1;14970.2;14961.5;14626.2;14220.4;14783.1;14642.0
C1_2_7;2829.0;2793.0;2829.0;2793.0;2793.0;2793.0;2829.0;2793.0;2793.0;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0
C1_4_10;7249.0;7245.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0;7393.0;7249.0
HFVRP_p14;9558.1;9406.0;9454.3;9556.6;9657.6;9541.9;9591.2;9674.2;9498.7;9461.1;9423.1;9364.9;9736.3;9391.5;9652.6
C1_2_6;2829.0;2793.0;2829.0;2793.0;2793.0;2793.0;2829.0;2793.0;2793.0;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0
CVRP_p5;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0;4581.0
CVRP_4;3946.0;3948.0;3946.0;3935.0;3935.0;3948.0;3916.0;3959.0;3935.0;3916.0;3948.0;3946.0;3916.0;3962.0;3916.0
C1_4_7;7249.0;7258.1;7254.5;7249.0;7258.8;7245.0;7260.0;7249.0;7260.0;7261.7;7245.0;7258.8;7249.0;7393.0;7249.0
C1_4_1;7249.0;7245.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0;7393.0;7249.0
C1_6_3;14615.5;14540.4;14361.7;14638.0;14601.7;14292.0;14399.5;14299.5;14213.2;14932.3;14942.4;14687.9;14263.1;14785.8;14617.2
C1_2_1;2829.0;2793.0;2829.0;2793.0;2793.0;2793.0;2829.0;2793.0;2793.0;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0
CVRP_p3;4133.0;4172.0;4133.0;4172.0;4172.0;4172.0;4133.0;4172.0;4172.0;4133.0;4172.0;4133.0;4133.0;4133.0;4133.0
C1_6_2;14667.3;14633.3;14307.3;14676.6;14512.5;14252.1;14307.5;14314.2;14202.0;14974.5;14896.8;14698.7;14285.2;14789.2;14642.0
C1_4_4;7256.6;7267.8;7260.0;7259.6;7261.3;7258.6;7258.8;7269.8;7268.6;7271.0;7255.6;7274.4;7261.7;7393.6;7269.0
C1_2_5;2829.0;2793.0;2829.0;2793.0;2793.0;2793.0;2829.0;2793.0;2793.0;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0
C1_4_3;7249.0;7245.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0;7393.0;7249.0
HFVRP_1;3241.0;3241.0;3241.0;3241.0;3241.0;3241.0;3241.0;3241.0;3241.0;3241.0;3241.0;3241.0;3241.0;3225.0;3241.0
C1_4_2;7249.0;7245.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0;7393.0;7249.0
C1_2_3;2829.0;2793.0;2829.0;2793.0;2793.0;2793.0;2829.0;2793.0;2793.0;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0
C1_4_6;7249.0;7245.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0;7249.0;7260.0;7245.0;7249.0;7249.0;7393.0;7249.0
C1_4_8;7249.0;7245.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0;7249.0;7249.0;7245.0;7249.0;7249.0;7393.0;7249.0
C1_2_10;2829.0;2793.0;2829.0;2793.0;2793.0;2793.0;2829.0;2793.0;2793.0;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0
C1_2_4;2829.0;2793.0;2829.0;2793.0;2793.0;2793.0;2829.0;2793.0;2793.0;2829.0;2793.0;2829.0;2829.0;2829.0;2829.0
C1_6_1;14716.9;14608.8;14421.0;14574.3;14666.5;14326.6;14417.0;14397.0;14271.2;14901.0;14949.2;14678.4;14288.0;14780.6;14666.5
CVRP_p14;9356.9;9543.0;9558.2;9536.5;9554.0;9561.8;9367.4;9373.2;9371.9;9538.6;9391.7;9554.5;9558.8;9576.2;9535.0
