Instance;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
p3;596.0;596.0;596.0;596.0;596.0;596.0;596.0;596.0;596.0;596.0;596.0;596.0;610.0;596.0;596.0
p6;745.0;795.0;745.0;745.0;745.0;745.0;745.0;795.0;795.0;745.0;795.0;795.0;795.0;795.0;795.0
p19;1812.2;1852.9;1808.2;1813.7;1832.6;1843.0;1790.5;1773.2;1820.8;1829.7;1821.7;1812.9;1636.0;1826.1;1865.3
p5;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0
p1;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0
p31;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0
p15;1116.0;994.0;1116.0;1116.0;1020.0;1116.0;1020.0;1017.0;994.0;1020.0;994.0;1017.0;1017.0;1017.0;994.0
p20;2239.2;2216.4;2209.3;2198.8;2219.5;2207.5;2190.3;2205.5;2201.9;2165.7;2217.4;2214.3;2162.2;2186.7;2219.9
p4;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0
p2;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0
