Instance;CHRISTOFIDES_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT
p3;608.0;608.0;592.0;608.0;608.0;658.0;608.0;608.0;608.0;608.0;608.0;608.0;608.0;608.0;608.0
p6;745.0;795.0;745.0;795.0;745.0;825.0;745.0;795.0;795.0;745.0;745.0;795.0;795.0;795.0;745.0
p19;1857.9;1807.2;1740.0;1826.9;1821.5;1885.0;1805.0;1830.7;1806.6;1863.4;1861.3;1834.6;1811.0;1823.7;1815.4
p5;708.0;708.0;708.0;708.0;708.0;710.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0
p1;516.0;516.0;516.0;516.0;516.0;602.0;516.0;516.0;516.0;516.0;516.0;516.0;516.0;516.0;516.0
p31;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0
p15;1116.0;994.0;1116.0;994.0;1020.0;1017.0;1116.0;994.0;1017.0;1020.0;1116.0;994.0;1017.0;1017.0;1020.0
p20;2238.5;2205.6;2191.5;2233.0;2217.4;2242.3;2214.2;2197.2;2207.9;2228.9;2187.2;2204.6;2240.6;2195.3;2210.3
p4;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0
p2;516.0;516.0;516.0;516.0;516.0;602.0;516.0;516.0;516.0;516.0;516.0;516.0;516.0;516.0;516.0
