Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
p3;576.0;576.0;576.0;576.0;576.0;576.0;576.0;576.0;646.0;576.0;576.0;615.0;576.0;576.0;576.0
p6;795.0;745.0;795.0;795.0;745.0;795.0;745.0;745.0;745.0;745.0;745.0;795.0;745.0;795.0;795.0
p19;1837.5;1851.9;1834.6;1837.4;1832.0;1811.5;1850.9;1832.5;1827.0;1854.6;1849.9;1771.9;1843.6;1804.3;1783.1
p5;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0
p1;560.0;560.0;560.0;560.0;560.0;560.0;560.0;560.0;533.0;560.0;560.0;560.0;560.0;560.0;560.0
p31;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0
p15;994.0;1020.0;994.0;1017.0;1116.0;1017.0;1116.0;1116.0;1116.0;1020.0;1020.0;994.0;1020.0;994.0;1017.0
p20;2199.7;2198.2;2174.1;2169.5;2225.1;2222.8;2173.6;2186.5;2257.5;2178.4;2182.3;2214.8;2203.4;2245.0;2200.2
p4;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0
p2;560.0;560.0;560.0;560.0;560.0;560.0;560.0;560.0;533.0;560.0;560.0;560.0;560.0;560.0;560.0
