Instance;SAVINGS_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING
p3;697.0;697.0;697.0;697.0;697.0;697.0;608.0;697.0;697.0;697.0;697.0;697.0;697.0;697.0;697.0
p6;745.0;745.0;795.0;795.0;795.0;745.0;795.0;745.0;795.0;745.0;745.0;795.0;795.0;745.0;795.0
p19;1794.7;1836.8;1831.2;1845.7;1829.0;1850.9;1733.0;1867.4;1816.3;1798.0;1830.0;1822.3;1842.5;1825.8;1804.0
p5;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0
p1;580.0;580.0;580.0;580.0;580.0;580.0;547.0;580.0;580.0;580.0;580.0;580.0;580.0;580.0;580.0
p31;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0
p15;1116.0;1116.0;994.0;994.0;1017.0;1020.0;994.0;1020.0;1017.0;1020.0;1116.0;1017.0;994.0;1020.0;1017.0
p20;2228.8;2212.7;2189.5;2225.1;2181.1;2213.5;2188.3;2190.0;2216.7;2212.9;2174.2;2189.4;2224.1;2213.2;2223.5
p4;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0
p2;580.0;580.0;580.0;580.0;580.0;580.0;547.0;580.0;580.0;580.0;580.0;580.0;580.0;580.0;580.0
