Instance;SWEEP_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH
p3;629.0;629.0;629.0;629.0;629.0;629.0;629.0;629.0;629.0;629.0;629.0;629.0;629.0;595.0;629.0
p6;745.0;795.0;745.0;795.0;795.0;795.0;745.0;795.0;795.0;745.0;795.0;745.0;745.0;745.0;745.0
p19;1833.4;1836.4;1838.6;1834.1;1823.6;1876.9;1865.3;1832.8;1814.3;1836.3;1826.2;1803.5;1834.2;1884.0;1841.9
p5;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0;708.0
p1;565.0;565.0;565.0;565.0;565.0;565.0;565.0;565.0;565.0;565.0;565.0;565.0;565.0;602.0;565.0
p31;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0;540.0
p15;1020.0;994.0;1020.0;1017.0;1017.0;994.0;1116.0;1017.0;1017.0;1116.0;994.0;1020.0;1116.0;1020.0;1116.0
p20;2201.4;2174.2;2245.5;2162.3;2144.6;2205.2;2220.2;2204.7;2212.5;2194.3;2218.7;2228.0;2202.4;2199.1;2235.1
p4;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0;711.0
p2;565.0;565.0;565.0;565.0;565.0;565.0;565.0;565.0;565.0;565.0;565.0;565.0;565.0;602.0;565.0
