Instance;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;SAVINGS_and_GENERIC_TABU_SEARCH
p3;629.0;608.0;576.0;592.0;596.0
p6;795.0;795.0;795.0;745.0;745.0
p19;1823.6;1733.0;1834.6;1740.0;1790.5
p5;708.0;708.0;708.0;708.0;708.0
p1;565.0;547.0;560.0;516.0;500.0
p31;540.0;540.0;540.0;540.0;540.0
p15;1017.0;994.0;994.0;1116.0;1020.0
p20;2144.6;2188.3;2174.1;2191.5;2190.3
p4;711.0;711.0;711.0;711.0;711.0
p2;565.0;547.0;560.0;516.0;500.0
