Instance;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
att48;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0
pr76;110657.0;110653.0;110653.0;111000.0;109118.0;112666.0;110098.0;112481.0;110173.0;110288.0;112481.0;108879.0;111000.0;109043.0;112481.0
pr107;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0
st70;687.0;682.0;687.0;687.0;687.0;687.0;687.0;682.0;682.0;687.0;682.0;682.0;682.0;682.0;682.0
ulysses22;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0
rd100;8479.0;8628.0;8479.0;8479.0;8479.0;8479.0;8479.0;8628.0;8628.0;8479.0;8628.0;8628.0;8628.0;8628.0;8628.0
pr124;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0
d493;37471.9;37002.0;37245.7;37505.8;36852.1;37198.9;36918.8;36959.5;36969.5;36787.5;36983.5;37141.1;37145.0;37327.7;36727.5
ulysses16;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0
dsj1000;20991203.2;20988817.2;20966368.6;21211166.9;20938089.8;20889931.8;21060025.4;21062539.6;20910915.2;21069152.9;20972948.5;21045585.9;21104845.0;20953004.7;20990487.1
u724;47601.9;47686.1;47672.6;47537.1;47648.5;47584.6;47682.0;47635.4;47579.6;47500.5;47445.8;47619.9;47778.6;47390.9;47584.1
ch150;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0
d657;55503.3;55457.6;55082.3;55194.8;55511.8;55346.5;55737.7;55913.5;55068.1;55373.3;55413.5;55322.1;55256.7;55808.0;55354.5
