Instance;CHRISTOFIDES_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT
att48;34405.0;34405.0;34405.0;34405.0;34405.0;34184.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0
pr76;110288.0;112481.0;110600.0;108879.0;112666.0;110948.0;110653.0;109043.0;110653.0;111000.0;109118.0;112481.0;112481.0;110173.0;110657.0
pr107;46677.0;46677.0;46677.0;46677.0;46677.0;44573.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0
st70;687.0;682.0;687.0;682.0;687.0;683.0;687.0;682.0;682.0;687.0;687.0;682.0;682.0;682.0;687.0
ulysses22;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0
rd100;8479.0;8628.0;8479.0;8628.0;8479.0;8221.0;8479.0;8628.0;8628.0;8479.0;8479.0;8628.0;8628.0;8628.0;8479.0
pr124;59246.0;59246.0;59246.0;59246.0;59246.0;60413.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0
d493;37069.9;37032.1;37026.2;36891.6;36916.9;36737.0;36926.5;36769.7;36923.6;36857.3;37189.8;37114.3;37449.9;37192.1;36732.3
ulysses16;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0
dsj1000;21227074.8;21027211.1;20888901.3;21063506.8;21058499.9;21894779.4;20954232.4;21207167.5;21087388.9;21017583.7;21083495.9;21122429.6;21105880.6;20993415.7;20957251.6
u724;47627.3;47608.2;47658.2;47633.5;47613.9;45276.6;47596.6;47580.5;47608.3;47561.5;47513.3;47632.3;47550.5;47622.4;47550.8
ch150;6769.0;6769.0;6769.0;6769.0;6769.0;6733.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0
d657;55169.7;55533.2;55253.4;55284.6;55173.2;51711.3;55111.6;55231.1;55269.2;55106.0;55041.9;55364.1;55453.7;54910.3;55627.8
