Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
att48;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34730.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0
pr76;110173.0;110288.0;112481.0;112481.0;110657.0;109043.0;110098.0;112666.0;110173.0;111000.0;110653.0;110657.0;109118.0;112481.0;108879.0
pr107;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0
st70;682.0;687.0;682.0;682.0;687.0;682.0;687.0;687.0;687.0;687.0;687.0;682.0;687.0;682.0;682.0
ulysses22;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0
rd100;8628.0;8479.0;8628.0;8628.0;8479.0;8628.0;8479.0;8479.0;8479.0;8479.0;8479.0;8628.0;8479.0;8628.0;8628.0
pr124;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0
d493;37173.8;36763.2;36860.5;36855.3;37312.5;36906.6;36914.4;36780.6;37434.1;36734.7;37295.6;36940.8;37135.5;36689.8;37455.7
ulysses16;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0
dsj1000;21085998.6;20999701.8;21130516.5;21101898.5;20863253.4;20973717.2;21051037.8;20956804.6;21041144.2;21124353.2;21077723.7;21045835.8;21020139.3;21137701.3;21041269.2
u724;47680.7;47588.8;47525.9;47568.2;47800.9;47648.4;47754.9;47659.6;45322.0;47916.4;47519.1;47609.3;47632.8;47583.3;47621.4
ch150;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6879.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0
d657;55195.3;55433.9;55100.1;55222.8;55377.8;55479.2;55187.5;54911.9;56310.8;55517.6;55013.5;55110.9;55225.0;55657.3;55199.3
