Instance;SAVINGS_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING
att48;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0
pr76;109118.0;110653.0;112481.0;109043.0;110173.0;110098.0;110657.0;110288.0;112481.0;112666.0;111000.0;108879.0;110653.0;110657.0;112481.0
pr107;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0
st70;687.0;687.0;682.0;682.0;682.0;687.0;682.0;687.0;682.0;687.0;687.0;682.0;682.0;687.0;682.0
ulysses22;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0
rd100;8479.0;8479.0;8628.0;8628.0;8628.0;8479.0;8628.0;8479.0;8628.0;8479.0;8479.0;8628.0;8628.0;8479.0;8628.0
pr124;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0
d493;36969.3;36789.3;37148.0;37392.7;36977.8;36722.0;36576.0;36799.0;36782.3;37353.1;37087.3;37298.1;36866.1;36891.9;37328.4
ulysses16;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0
dsj1000;21052369.7;21041852.1;21133851.1;21063367.4;21030140.5;21234594.0;20957795.5;20987300.0;21021446.8;20957603.5;20935785.6;20966550.4;21060807.4;21102041.7;21062443.2
u724;47660.3;47581.4;47718.8;47577.1;47627.3;47503.9;47450.8;47642.1;47582.9;47601.7;47605.1;47611.5;47611.2;47641.9;47633.6
ch150;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0
d657;55776.8;55572.9;55371.9;55487.0;55413.7;55172.2;55059.9;55289.5;55115.9;55674.3;55451.0;55394.9;55148.4;55160.9;54957.5
