Instance;SAVINGS_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING
att48;0.06962831020355224;0.06519768238067628;0.0651714563369751;0.07311160564422607;0.07710437774658203;0.06572957038879394;0.05768003463745117;0.07791509628295898;0.06597166061401367;0.06762795448303223;0.06627061367034912;0.06738100051879883;0.06536557674407958;0.06863317489624024;0.07239334583282471
pr76;0.39118802547454834;0.3418745040893555;0.47989625930786134;0.42482378482818606;0.37029523849487306;0.5081144571304321;0.3795237302780151;0.37263410091400145;0.4119437217712402;0.35520989894866944;0.26127057075500487;0.17340233325958251;0.34134204387664796;0.39901998043060305;0.3780556917190552
pr107;0.6447810888290405;0.6897039890289307;0.5727405786514282;0.5592563867568969;0.696923828125;0.6460391044616699;0.5725554466247559;0.673595643043518;0.5781513690948487;0.6821623086929322;0.6571098089218139;0.5864977836608887;0.570901346206665;0.643218207359314;0.5788627624511719
st70;0.12045524120330811;0.11215033531188964;0.13640108108520507;0.13287737369537353;0.142415189743042;0.12181735038757324;0.13359901905059815;0.1128835916519165;0.13426432609558106;0.11675014495849609;0.11376934051513672;0.13455238342285156;0.14153828620910644;0.11293289661407471;0.13420045375823975
ulysses22;0.005848526954650879;0.007123041152954102;0.006413316726684571;0.006119489669799805;0.006154704093933106;0.006281709671020508;0.005949234962463379;0.0068550586700439455;0.006591320037841797;0.005881881713867188;0.008580517768859864;0.006746864318847657;0.007364344596862793;0.005854964256286621;0.006353926658630371
rd100;0.4917714595794678;0.47190396785736083;0.4535956621170044;0.4851721525192261;0.4997006893157959;0.43973753452301023;0.5577549695968628;0.4953464031219482;0.44893035888671873;0.4941550731658936;0.4372147798538208;0.4583055734634399;0.46199426651000974;0.4539306640625;0.44438159465789795
pr124;0.3070207118988037;0.3209302663803101;0.5388444662094116;0.5168625593185425;0.5561382293701171;0.3075908422470093;0.5378290414810181;0.30031757354736327;0.5572047710418702;0.32320537567138674;0.3062001705169678;0.5376393795013428;0.5310759544372559;0.3227717638015747;0.5392347812652588
d493;14.935848164558411;12.761508512496949;14.603953957557678;14.875080108642578;15.027140474319458;13.795491099357605;12.527992653846741;14.146003341674804;14.915181469917297;13.850874614715575;15.064677834510803;14.761325001716614;14.86890892982483;15.063708329200745;13.87374050617218
ulysses16;0.0027554988861083984;0.00275728702545166;0.0027944087982177735;0.0027890920639038084;0.002759289741516113;0.005248069763183594;0.002745532989501953;0.002923321723937988;0.0027957439422607424;0.0028656959533691407;0.0028063058853149414;0.003160381317138672;0.0029471397399902345;0.002747774124145508;0.0027999639511108398
dsj1000;15.50150752067566;15.501923966407777;15.501429629325866;15.502154755592347;15.50202236175537;15.501540780067444;15.501409077644348;15.50212049484253;15.501565217971802;15.502021288871765;15.501707673072815;15.501518201828002;15.501821136474609;15.501461029052734;15.501813697814942
u724;15.500870060920715;15.501251649856567;15.501050567626953;15.501134133338928;15.501148295402526;15.501071286201476;15.501142358779907;15.501327729225158;15.501049160957336;15.501045942306519;15.501165986061096;15.501054406166077;15.500952410697938;15.501467394828797;15.501187896728515
ch150;1.3018126010894775;1.40467050075531;1.3595446348190308;1.367595100402832;1.3301211833953857;1.3149683475494385;1.3336248874664307;1.3572355270385743;1.2657552242279053;1.412278175354004;1.3240352869033813;1.351584219932556;1.2965204238891601;1.371357798576355;1.4370015144348145
d657;15.500628471374512;15.500645756721497;15.501045179367065;15.500882863998413;15.501110577583313;15.500979375839233;15.500818920135497;15.501228952407837;15.501215600967408;15.500657343864441;15.500844979286194;15.501082134246825;15.501078414916993;15.501034903526307;15.500993013381958
