Instance;SWEEP_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH
att48;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0;34405.0
pr76;110653.0;108879.0;111000.0;112481.0;110653.0;112481.0;110288.0;109043.0;110173.0;109118.0;112481.0;112666.0;110098.0;112481.0;110657.0
pr107;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0;46677.0
st70;687.0;682.0;687.0;682.0;682.0;682.0;687.0;682.0;682.0;687.0;682.0;687.0;687.0;687.0;687.0
ulysses22;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0
rd100;8479.0;8628.0;8479.0;8628.0;8628.0;8628.0;8479.0;8628.0;8628.0;8479.0;8628.0;8479.0;8479.0;8479.0;8479.0
pr124;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0;59246.0
d493;37142.6;36941.7;36953.9;37047.9;36871.2;36806.0;37369.4;37009.7;37217.3;37377.2;37172.9;36909.8;36834.9;37134.9;37023.5
ulysses16;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0
dsj1000;20983298.3;20925569.6;21013842.0;21175499.5;21024758.6;21142010.1;20867280.1;21171946.5;20801543.5;21056994.9;21092118.6;20910949.3;20950620.8;21099515.3;21106073.4
u724;47615.3;47738.6;47622.5;47650.4;47670.6;47607.4;47661.9;47578.4;47604.9;47684.8;47479.0;47686.5;47622.0;47558.9;47601.2
ch150;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0;6769.0
d657;55112.7;55350.3;55426.8;55638.0;55266.7;55215.1;54960.9;55781.8;55780.5;55024.3;55560.9;55301.6;55424.9;55453.9;55418.7
