Instance;ALL_UNPERFORMED_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;CHRISTOFIDES_and_GENERIC_TABU_SEARCH
att48;34405.0;34405.0;34405.0;34184.0;34405.0
pr76;110098.0;110657.0;110288.0;110948.0;111000.0
pr107;46677.0;46677.0;46677.0;44573.0;46677.0
st70;687.0;682.0;687.0;683.0;687.0
ulysses22;72.0;72.0;72.0;72.0;72.0
rd100;8479.0;8628.0;8479.0;8221.0;8479.0
pr124;59246.0;59246.0;59246.0;60413.0;59246.0
d493;36834.9;36576.0;36763.2;36737.0;37505.8
ulysses16;72.0;72.0;72.0;72.0;72.0
dsj1000;20950620.8;20957795.5;20999701.8;21894779.4;21211166.9
u724;47622.0;47450.8;47588.8;45276.6;47537.1
ch150;6769.0;6769.0;6769.0;6733.0;6769.0
d657;55424.9;55059.9;55433.9;51711.3;55194.8
