Instance;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
CVRP_3;607.8;607.5;631.5;607.9;607.9;607.8;631.6;615.0;607.9;607.2;607.9;607.9;613.8;608.2;614.4
p3;1280.8;1278.8;1286.7;1277.4;1277.5;1278.9;1278.3;1278.8;1278.7;1277.5;1279.6;1280.5;1282.1;1277.5;1281.6
p6;1923.7;1924.0;1924.6;1924.0;1923.4;1925.1;1924.0;1924.2;1923.4;1926.1;1923.4;1924.4;1923.9;1923.4;1924.0
p19;5694.7;5695.2;5695.2;5695.1;5694.7;5695.2;5693.9;5695.2;5694.7;5696.9;5694.3;5695.0;5694.7;5693.9;5695.3
p5;1930.1;1929.9;1929.6;1930.1;1930.1;1929.5;1930.3;1930.1;1929.3;1929.5;1930.0;1928.9;1929.3;1929.9;1930.3
p1;721.9;720.0;722.8;720.0;720.8;720.0;721.2;722.0;720.0;719.9;721.6;721.6;725.0;720.8;720.9
CVRP_5;1204.4;1204.4;1204.4;1204.4;1204.4;1204.4;1204.4;1204.4;1204.1;1204.4;1204.4;1204.4;1204.4;1204.0;1204.4
p31;702.2;697.4;702.2;707.2;713.5;704.6;710.9;697.4;697.4;708.5;699.8;699.8;697.4;697.4;699.8
p15;1354.7;1358.8;1358.1;1356.9;1352.3;1361.2;1354.3;1353.6;1355.9;1353.2;1355.9;1356.1;1358.5;1355.9;1353.2
p20;8725.4;8723.2;8726.9;8725.4;8723.4;8727.5;8726.4;8727.1;8727.4;8722.4;8727.3;8725.4;8725.6;8723.2;8727.9
CVRP_2;671.3;668.2;671.2;669.5;669.5;671.3;671.3;668.9;669.2;671.2;668.9;668.9;668.9;668.9;668.9
p4;1846.9;1846.6;1850.3;1845.8;1847.3;1846.9;1850.0;1847.3;1846.3;1846.1;1849.7;1845.4;1846.1;1846.9;1847.1
p16;6158.5;6157.6;6157.1;6156.8;6156.4;6157.7;6156.5;6156.9;6156.0;6156.2;6159.2;6155.7;6155.8;6161.9;6157.2
CVRP_100;347.4;345.2;347.4;347.4;346.5;347.4;346.5;345.8;345.2;346.5;345.2;345.8;345.8;345.8;345.2
p18;10784.7;10784.1;10785.6;10783.8;10810.8;10784.2;10782.7;10783.7;10782.8;10781.5;10784.0;10782.0;10784.8;10785.8;10784.7
p2;717.1;715.1;715.2;715.4;716.9;719.3;718.6;714.8;716.9;716.8;717.0;717.1;717.7;718.9;718.3
p17;7238.7;7243.6;7248.3;7240.1;7241.3;7239.2;7240.6;7241.2;7241.4;7246.4;7242.7;7241.9;7243.5;7242.1;7246.9
p12;9767.9;9748.8;9773.6;9767.2;9770.6;9767.2;9768.8;9769.3;9769.1;9768.9;9769.1;9767.7;9754.2;9769.3;9748.3
p11;3385.1;3373.0;3374.7;3375.4;3378.4;3376.5;3374.6;3373.1;3372.7;3374.4;3378.1;3372.7;3377.0;3373.4;3376.7
CVRP_4;1177.4;1176.5;1177.4;1177.4;1177.4;1177.2;1177.4;1177.7;1177.4;1177.4;1177.4;1177.4;1177.2;1176.8;1177.4
CVRP_1;657.9;644.8;657.6;657.9;657.9;659.9;657.6;644.8;644.8;657.9;644.8;644.8;644.8;645.1;644.8
p13;16696.0;16668.0;16668.0;16667.0;16670.0;16668.0;16670.0;16670.0;16668.0;16668.0;16668.0;16670.0;16445.0;16670.0;16668.0
