Instance;CHRISTOFIDES_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT
CVRP_3;632.2;614.4;632.2;608.2;607.3;682.2;607.9;607.8;614.0;632.1;607.9;607.3;607.8;607.9;607.9
p3;1278.6;1287.3;1282.5;1278.7;1278.8;1292.3;1277.6;1286.6;1278.8;1289.2;1283.0;1284.2;1277.5;1278.6;1284.1
p6;1924.1;1924.0;1924.1;1923.9;1923.3;1863.7;1923.3;1925.2;1924.1;1924.0;1924.1;1923.7;1923.4;1926.7;1923.3
p19;5695.9;5695.6;5694.7;5695.1;5695.1;5555.2;5697.0;5696.2;5695.5;5695.2;5694.7;5694.7;5694.7;5697.0;5694.7
p5;1930.0;1929.3;1929.4;1930.0;1929.6;1940.9;1930.0;1929.9;1930.0;1930.3;1929.0;1929.5;1929.9;1929.9;1929.3
p1;719.9;721.2;728.0;720.7;720.7;746.7;721.5;720.0;722.6;720.0;720.6;721.2;720.1;720.2;720.9
CVRP_5;1204.4;1204.4;1204.4;1204.4;1204.4;1189.8;1204.4;1204.1;1204.4;1204.4;1204.8;1204.4;1204.4;1204.4;1204.4
p31;704.6;697.4;707.2;697.4;713.5;703.8;707.2;699.8;699.8;708.5;702.2;697.4;697.4;697.4;710.9
p15;1352.3;1358.3;1356.5;1355.1;1356.7;1396.8;1351.4;1359.1;1353.2;1353.2;1356.7;1354.0;1357.8;1351.7;1354.2
p20;8726.4;8725.4;8727.4;8725.4;8722.2;8530.5;8723.2;8728.1;8726.4;8727.0;8725.4;8725.6;8725.4;8724.1;8727.6
CVRP_2;671.3;668.8;669.5;668.9;669.5;680.1;669.8;668.9;668.9;671.3;671.3;668.9;668.9;668.9;671.2
p4;1846.6;1846.1;1846.3;1845.8;1846.6;1857.3;1846.5;1846.4;1849.9;1850.5;1846.3;1847.5;1846.9;1850.3;1846.3
p16;6157.2;6158.1;6155.0;6156.1;6156.1;5784.9;6159.5;6155.0;6156.4;6156.1;6156.7;6160.1;6156.1;6158.2;6155.7
CVRP_100;347.4;345.2;347.4;345.2;346.5;349.2;347.4;345.2;345.8;346.5;347.4;345.2;345.8;345.8;346.5
p18;10785.0;10785.0;10784.6;10783.8;10783.8;10763.5;10801.5;10784.3;10783.7;10784.5;10784.0;10786.8;10802.4;10782.2;10782.3
p2;718.0;715.7;714.8;718.5;715.1;726.1;719.6;722.7;719.3;719.0;718.6;717.4;719.2;716.8;723.1
p17;7237.8;7250.1;7244.8;7239.9;7240.9;6995.0;7241.3;7241.3;7239.8;7247.6;7240.7;7244.3;7240.4;7244.3;7241.7
p12;9767.2;9769.6;9767.8;9745.7;9767.3;8848.3;9767.3;9767.9;9768.2;9746.4;9767.9;9767.4;9778.9;9761.3;9770.5
p11;3375.0;3374.1;3377.4;3373.6;3376.5;2629.8;3373.9;3376.3;3373.3;3375.0;3374.5;3386.8;3377.2;3374.5;3377.1
CVRP_4;1177.4;1177.4;1177.2;1177.2;1177.4;1181.4;1177.4;1177.2;1177.4;1177.4;1177.4;1177.4;1177.4;1177.2;1177.2
CVRP_1;657.9;644.5;657.9;645.8;657.9;677.3;657.9;644.8;644.5;657.9;657.9;647.7;644.8;644.5;657.9
p13;16694.0;16668.0;16367.0;16667.0;16668.0;15287.0;16670.0;16694.0;16670.0;16668.0;16694.0;16694.0;16670.0;16668.0;16667.0
