Instance;CHRISTOFIDES_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT
CVRP_3;19.997696256637575;19.03571162223816;19.996868109703065;19.999974250793457;20.00015766620636;20.000420331954956;20.000473260879517;20.00046548843384;19.037033367156983;19.999126720428468;20.000297808647154;20.000069165229796;20.000670409202577;20.00022382736206;20.00037236213684
p3;20.000379586219786;20.001227807998657;20.00178997516632;20.000218534469603;20.000355410575867;20.00034213066101;20.000600457191467;20.000318717956542;20.00040285587311;20.000663113594054;20.000715136528015;20.00310969352722;20.001098155975342;20.000286173820495;20.0005234003067
p6;20.000336027145387;20.000457644462585;20.00043065547943;20.00046408176422;20.00033860206604;20.000615572929384;20.000674414634705;20.000511002540588;20.000463342666627;20.000317215919495;20.00038061141968;20.000474286079406;20.000585556030273;20.00044188499451;20.00044176578522
p19;20.000971174240114;20.00020296573639;20.000772356987;20.000858306884766;20.000790143013;20.000315976142883;20.000672364234923;20.000567603111268;20.0004976272583;20.000538849830626;20.00057957172394;20.000651836395264;20.000413703918458;20.00220482349396;20.000579047203065
p5;20.00046315193176;20.00024163722992;20.0002849817276;20.000399112701416;20.00021629333496;20.00041456222534;20.000409269332884;20.000393319129945;20.00031280517578;20.00043406486511;20.00056059360504;20.000379228591918;20.000371313095094;20.000689458847045;20.00056529045105
p1;20.000205874443054;20.000558257102966;20.0004891872406;20.000469040870666;20.00022976398468;19.9999249458313;20.000303149223328;20.00028395652771;20.000421619415285;20.000260400772095;20.0002934217453;20.000200462341308;20.00043649673462;20.000378036499022;20.00030846595764
CVRP_5;20.000498986244203;20.000140261650085;20.0004385471344;20.000485134124755;20.000286173820495;20.00067095756531;20.00040738582611;20.000589442253112;20.00017943382263;20.00034534931183;20.000401639938353;20.000344014167787;20.000433993339538;20.000378060340882;20.000287675857543
p31;0.042939615249633786;0.03601846694946289;0.04514687061309815;0.04081439971923828;0.0414567232131958;0.04014706611633301;0.046830606460571286;0.03899960517883301;0.03816158771514892;0.04206614494323731;0.0441481351852417;0.038097691535949704;0.04446635246276855;0.03851807117462158;0.04119410514831543
p15;20.000363159179688;20.000532603263856;20.000221252441406;20.000397086143494;20.00007035732269;20.000301480293274;20.001580691337587;20.00017900466919;20.00004107952118;20.000743222236633;20.000580406188966;20.000306701660158;20.000652527809144;20.000065040588378;20.000253033638
p20;20.000724411010744;20.000725388526917;20.00116174221039;20.00077316761017;20.00080828666687;20.0010333776474;20.00092387199402;20.00077142715454;20.00084798336029;20.0008615732193;20.00111801624298;20.000769329071044;20.000733613967896;20.0010493516922;20.00080261230469
CVRP_2;18.594068717956542;18.57356479167938;18.315682077407835;18.56784439086914;18.31495282649994;18.58674850463867;18.317228078842163;18.570858216285707;18.571747422218323;18.59977352619171;18.596263694763184;18.57964382171631;18.570646929740906;18.57742908000946;18.595453310012818
p4;20.000581240653993;20.000307607650758;20.000417232513428;20.000371074676515;20.000582098960876;20.000194787979126;20.0003675699234;20.000363445281984;20.000621604919434;20.000449419021606;20.00042426586151;20.000334000587465;20.00204167366028;20.00026249885559;20.00042243003845
p16;20.00049521923065;20.000446128845216;20.000451374053956;20.000498867034914;20.000346398353578;20.00222191810608;20.00165057182312;20.000526881217958;20.000694966316225;20.00044915676117;20.000705456733705;20.002737283706665;20.000455713272096;20.000352025032043;20.000462031364442
CVRP_100;0.11348981857299804;0.0947735071182251;0.11435990333557129;0.0953021764755249;0.11215622425079345;0.09617648124694825;0.11552956104278564;0.09596793651580811;0.09492464065551758;0.11087598800659179;0.11471288204193116;0.09527103900909424;0.09475829601287841;0.09448106288909912;0.11053111553192138
p18;20.000870037078858;20.00083906650543;20.00046865940094;20.000878190994264;20.002286624908447;20.003325200080873;20.000602674484252;20.001160907745362;20.001084518432616;20.000708174705505;20.00089852809906;20.000532746315002;20.000765681266785;20.000718545913696;20.000441694259642
p2;20.000191402435302;20.00021438598633;20.00048713684082;20.00029797554016;20.00022189617157;20.000170636177064;20.000427889823914;20.00026080608368;20.000309777259826;20.00048236846924;20.00009641647339;20.000130558013915;20.00076632499695;20.000284671783447;20.000218296051024
