Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
CVRP_3;614.3;632.2;607.9;607.4;607.9;607.9;607.9;632.1;632.1;607.9;607.9;614.3;607.3;607.3;614.4
p3;1284.8;1284.8;1282.2;1278.9;1279.5;1278.9;1278.9;1278.4;1281.3;1283.4;1286.5;1278.7;1278.4;1277.6;1280.8
p6;1924.0;1924.0;1926.2;1923.3;1924.5;1923.9;1923.4;1924.0;1924.0;1933.0;1924.5;1924.1;1924.0;1923.4;1924.0
p19;5697.4;5695.3;5694.8;5695.0;5695.7;5695.1;5694.7;5695.2;5694.8;5694.1;5694.7;5694.6;5695.2;5695.4;5695.2
p5;1930.1;1930.4;1929.9;1929.5;1930.1;1930.1;1929.9;1929.6;1929.6;1929.5;1930.3;1930.4;1930.0;1929.4;1930.4
p1;721.0;723.6;720.6;721.5;720.8;719.9;720.9;721.4;721.8;719.8;720.6;728.6;718.9;722.0;720.3
CVRP_5;1203.6;1204.4;1204.4;1204.0;1204.4;1204.1;1204.4;1204.4;1204.1;1204.7;1204.4;1204.4;1204.1;1204.4;1204.4
p31;699.8;713.5;697.4;699.8;707.2;697.4;704.6;702.2;704.6;713.5;708.5;697.4;710.9;697.4;697.4
p15;1353.4;1358.3;1356.8;1351.6;1351.3;1354.6;1356.7;1351.0;1354.2;1353.7;1359.6;1351.6;1356.1;1351.0;1353.4
p20;8726.3;8727.0;8727.4;8728.0;8725.6;8722.4;8727.3;8729.0;8723.2;8726.1;8726.6;8724.4;8727.5;8729.1;8725.4
CVRP_2;668.9;669.4;668.8;668.9;669.4;668.9;671.3;671.3;671.3;669.5;671.2;668.8;671.3;668.9;668.8
p4;1847.6;1846.1;1846.3;1846.3;1845.7;1847.0;1845.6;1847.2;1846.1;1850.3;1846.5;1845.3;1847.0;1846.9;1846.5
p16;6157.2;6158.4;6156.7;6156.0;6156.2;6156.4;6157.1;6156.0;6156.5;6160.3;6156.5;6159.1;6156.1;6159.9;6158.8
CVRP_100;345.2;346.5;345.2;345.8;347.4;345.8;347.4;347.4;345.9;346.5;346.5;345.2;346.5;345.2;345.8
p18;10782.8;10782.8;10784.8;10784.0;10784.7;10784.5;10797.8;10785.7;10784.0;10787.6;10783.7;10785.0;10786.0;10810.6;10786.0
p2;716.7;718.0;718.7;723.9;716.4;715.1;721.4;718.3;717.4;719.4;718.6;715.2;715.5;718.4;717.5
p17;7240.2;7248.9;7240.9;7241.1;7241.5;7241.7;7241.1;7240.1;7243.0;7242.8;7240.9;7245.9;7242.0;7239.2;7250.5
p12;9767.7;9768.6;9768.6;9767.7;9748.3;9748.2;9751.5;9768.2;9509.8;9749.3;9768.5;9749.7;9767.2;9768.5;9768.3
p11;3373.3;3377.1;3377.6;3372.4;3375.1;3374.5;3377.1;3370.6;3374.8;3387.6;3378.3;3374.7;3374.1;3371.3;3383.3
CVRP_4;1177.4;1177.4;1177.4;1177.2;1177.2;1177.8;1177.6;1177.4;1177.2;1177.2;1177.4;1177.2;1176.5;1177.4;1177.4
CVRP_1;644.5;657.8;644.8;644.5;657.6;645.1;657.9;657.3;657.6;657.9;657.9;644.8;657.9;644.8;644.8
p13;16694.0;16670.0;16670.0;16668.0;16670.0;16668.0;16670.0;16740.0;15249.0;16696.0;16670.0;16668.0;16667.0;16670.0;16670.0
