Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
CVRP_3;19.040657353401183;19.99783923625946;20.00037546157837;20.000051951408388;20.000262665748597;20.00036072731018;19.999976468086242;19.99724950790405;19.995157885551453;20.00049498081207;19.999966621398926;19.030852699279784;20.000257158279418;19.999884414672852;19.045224285125734
p3;20.000365090370178;20.000388932228088;20.000401544570924;20.000217890739442;20.001048493385316;20.00028865337372;20.00031614303589;20.000165247917174;20.00087478160858;20.00049614906311;20.00105402469635;20.00070013999939;20.000641298294067;20.000333786010742;20.000333499908447
p6;20.00049207210541;20.00136284828186;20.000249004364015;20.000381875038148;20.000698232650755;20.000531673431396;20.000766587257385;20.000421857833864;20.00068907737732;20.00044503211975;20.00314371585846;20.000697636604308;20.000436329841612;20.000339794158936;20.000624203681944
p19;20.00130431652069;20.000437259674072;20.00058708190918;20.00091552734375;20.00025773048401;20.002037286758423;20.000696349143983;20.00081572532654;20.001056337356566;20.000958061218263;20.00063474178314;20.00032811164856;20.000557684898375;20.00272991657257;20.001365995407106
p5;20.00036554336548;20.00054359436035;20.00044572353363;20.000555324554444;20.00073673725128;20.000551438331605;20.00038878917694;20.00042793750763;20.000432872772215;20.00081584453583;20.00066466331482;20.00032768249512;20.000490307807922;20.00049591064453;20.00032594203949
p1;20.000483417510985;20.000226163864134;20.000322651863097;20.00029420852661;20.000097274780273;20.000391483306885;20.000100874900816;20.00031681060791;20.00014133453369;20.00028564929962;20.000078392028808;20.00377380847931;20.00034668445587;20.000225567817687;20.00022659301758
CVRP_5;20.000383019447327;20.00016930103302;20.000392818450926;20.00028250217438;20.000411486625673;20.00028793811798;20.000425481796263;20.00017445087433;20.000210571289063;20.000443530082702;20.000508403778078;20.000543475151062;20.000561714172363;20.0003404378891;20.000257802009582
p31;0.036314201354980466;0.04204380512237549;0.038343191146850586;0.04090306758880615;0.046263599395751955;0.043398284912109376;0.0434112548828125;0.04530878067016601;0.03895478248596192;0.04215822219848633;0.04362390041351318;0.04130454063415527;0.03980107307434082;0.04165740013122558;0.039914393424987794
p15;20.000455594062807;20.000853729248046;20.000111985206605;20.000304770469665;20.00051109790802;20.000500917434692;20.00033793449402;20.000630736351013;19.999884605407715;20.000415897369386;20.000679159164427;20.000063395500185;20.00018181800842;20.00037384033203;20.00037579536438
p20;20.00080797672272;20.000733399391173;20.00104150772095;20.000793266296387;20.000868153572082;20.00093698501587;20.000663447380067;20.000963139533997;20.000846314430238;20.00069522857666;20.000692749023436;20.000781846046447;20.000616717338563;20.00101206302643;20.000662207603455
CVRP_2;18.57530927658081;18.31970887184143;18.57248466014862;18.573280572891235;18.315300989151;18.584575390815736;18.59231040477753;18.59665060043335;18.594569039344787;18.319397926330566;18.59902536869049;18.57078309059143;18.591942930221556;18.57025227546692;18.583644723892213
p4;20.000459265708923;20.000316381454468;20.00418963432312;20.000454688072203;20.000290632247925;20.00034863948822;20.00047709941864;20.000369167327882;20.000480484962463;20.000284171104433;20.000364303588867;20.000322580337524;20.000377941131593;20.000563406944273;20.000711035728454
p16;20.000773739814758;20.000570797920226;20.000441431999207;20.000906920433046;20.000543642044068;20.000352954864503;20.001086163520814;20.000411415100096;20.000671315193177;20.000578236579894;20.00069978237152;20.000511264801027;20.00092158317566;20.00080804824829;20.000711941719054
CVRP_100;0.09575181007385254;0.11145994663238526;0.0961251974105835;0.09569482803344727;0.11652789115905762;0.09479577541351318;0.11338348388671875;0.1143604040145874;0.10767581462860107;0.1114419937133789;0.11111762523651122;0.09535040855407714;0.11040031909942627;0.09553310871124268;0.09421601295471191
p18;20.000863885879518;20.000393176078795;20.000577330589294;20.000958943367003;20.001000618934633;20.00098309516907;20.001210737228394;20.000463461875917;20.00048425197601;20.002931904792785;20.000699281692505;20.000659775733947;20.000580835342408;20.00097975730896;20.00100655555725
p2;20.000239491462708;20.00041344165802;20.002320528030396;20.0017368555069;20.0001900434494;20.00024633407593;20.00027906894684;20.000120306015013;20.000206923484804;20.00053572654724;20.000786185264587;20.00026741027832;20.00040853023529;20.00053699016571;20.000298428535462
p17;20.000482749938964;20.00042083263397;20.000279688835143;20.00057053565979;20.00094041824341;20.000533390045167;20.000777983665465;20.00064914226532;20.00097987651825;20.000628566741945;20.000424098968505;20.000516772270203;20.000477051734926;20.000886464118956;20.00044541358948
p12;20.000765228271483;20.000715827941896;20.000634789466858;20.000679636001585;20.000259613990785;20.000503492355346;20.00033566951752;20.000288581848146;20.00053243637085;20.00073857307434;20.00056071281433;20.000591349601745;20.000527501106262;20.001211285591125;20.000686502456666
p11;20.00024049282074;20.000273537635803;20.000340628623963;20.000396656990052;20.000200748443604;20.000487446784973;20.00068018436432;20.000520062446594;20.00034291744232;20.000260710716248;20.00036997795105;20.00024127960205;20.000481534004212;20.00058298110962;20.00039746761322
CVRP_4;20.00037603378296;20.00025713443756;20.000502109527588;20.00041780471802;20.000305080413817;20.000382781028748;20.00041193962097;20.00048620700836;20.000352263450623;20.000353717803954;20.00031096935272;20.00020112991333;20.000182104110717;20.00033175945282;20.00054919719696
CVRP_1;19.510810923576354;19.013131141662598;19.51090302467346;19.51140639781952;19.01224277019501;19.51054503917694;19.01429979801178;19.014989376068115;19.012747740745546;19.015694665908814;19.01370213031769;19.510208773612977;19.01370418071747;19.510558342933656;19.5077232837677
p13;20.000761032104492;20.000779628753662;20.00179433822632;20.001152276992798;20.000962257385254;20.000837326049805;20.000755310058594;20.003697872161865;20.000792264938354;20.00071883201599;20.0010187625885;20.00148916244507;20.000871658325195;20.00074815750122;20.000860452651978
