Instance;SAVINGS_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING
CVRP_3;632.1;607.9;607.9;614.5;614.3;607.9;614.4;608.4;607.9;632.1;607.9;607.9;607.8;632.2;608.5
p3;1288.4;1278.8;1280.7;1284.2;1282.1;1277.6;1281.4;1278.9;1278.9;1278.6;1278.8;1278.1;1278.7;1278.8;1286.4
p6;1924.0;1925.1;1923.4;1924.1;1924.1;1926.8;1924.5;1923.4;1924.1;1923.9;1923.3;1923.6;1923.3;1923.9;1924.1
p19;5696.4;5697.0;5694.7;5695.1;5695.2;5694.7;5694.7;5696.3;5695.9;5694.8;5693.4;5693.8;5695.1;5696.4;5693.4
p5;1931.8;1929.7;1929.9;1929.6;1930.3;1930.0;1929.6;1929.9;1930.0;1929.8;1929.4;1929.7;1929.5;1930.0;1930.0
p1;721.5;720.0;719.5;722.0;721.2;720.0;722.4;723.3;722.7;724.5;721.5;721.3;720.1;720.0;720.0
CVRP_5;1204.1;1204.4;1204.4;1204.4;1204.1;1204.4;1204.4;1204.4;1203.9;1204.4;1204.4;1204.4;1204.4;1204.4;1204.4
p31;707.2;704.6;697.4;697.4;697.4;713.5;706.1;710.9;699.8;710.9;702.2;697.4;699.8;708.5;697.4
p15;1353.2;1355.7;1355.1;1353.9;1355.7;1352.8;1360.4;1352.0;1354.4;1358.3;1352.2;1354.1;1355.7;1354.0;1364.6
p20;8729.6;8724.6;8725.4;8729.2;8727.4;8725.4;8726.2;8724.4;8727.2;8725.6;8725.4;8727.4;8727.4;8727.2;8732.7
CVRP_2;669.5;671.6;668.8;668.9;668.9;669.5;668.9;671.2;668.9;671.2;671.3;668.9;668.8;671.3;668.8
p4;1853.6;1846.3;1846.6;1849.2;1846.9;1846.3;1847.3;1846.6;1846.6;1846.1;1847.4;1848.9;1847.3;1846.6;1845.6
p16;6157.3;6159.3;6155.8;6155.8;6159.2;6157.5;6156.9;6160.7;6156.1;6156.2;6157.1;6157.8;6156.1;6157.5;6156.1
CVRP_100;347.4;347.4;345.2;345.2;345.8;346.5;345.2;346.5;345.8;346.5;347.4;345.8;345.2;346.5;345.8
p18;10783.8;10782.5;10784.7;10783.0;10783.8;10784.0;10785.0;10810.1;10785.9;10785.7;10785.6;10784.0;10798.3;10783.7;10785.2
p2;715.2;714.8;716.8;717.0;717.0;723.3;715.7;716.9;715.5;715.2;718.8;716.8;725.4;715.3;718.5
p17;7244.9;7239.8;7242.5;7238.8;7250.3;7241.8;7239.8;7241.9;7242.4;7245.7;7240.9;7243.9;7241.5;7240.5;7240.5
p12;9768.7;9768.2;9764.6;9768.4;9767.9;9767.4;9769.1;9768.4;9767.7;9772.0;9769.5;9769.7;9749.1;9764.6;9767.9
p11;3377.3;3374.1;3376.6;3374.7;3377.2;3378.2;3373.9;3372.8;3371.8;3376.4;3378.9;3386.9;3374.6;3372.7;3373.2
CVRP_4;1177.7;1177.2;1177.4;1176.4;1177.4;1176.8;1177.4;1177.4;1176.4;1177.2;1177.4;1177.4;1177.2;1177.8;1177.5
CVRP_1;657.6;657.9;644.8;644.5;644.5;657.6;644.5;657.9;644.8;657.9;657.9;644.8;644.5;657.6;644.8
p13;16670.0;16668.0;16694.0;16731.0;16668.0;16694.0;15540.0;16670.0;16667.0;16668.0;16668.0;16670.0;16670.0;16668.0;16670.0
