Instance;SWEEP_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH
CVRP_3;631.6;607.9;607.9;611.8;607.8;614.4;607.9;614.3;607.9;607.8;607.8;607.9;608.2;632.2;632.1
p3;1278.8;1278.6;1278.9;1278.5;1278.9;1278.7;1285.4;1281.4;1278.9;1280.6;1278.7;1277.4;1285.5;1282.7;1281.3
p6;1924.0;1923.4;1924.1;1924.1;1924.0;1924.0;1923.4;1924.1;1923.7;1923.4;1926.1;1924.0;1924.4;1924.5;1924.0
p19;5694.6;5695.4;5694.6;5695.7;5693.4;5697.7;5694.7;5694.6;5695.5;5695.0;5695.1;5693.9;5694.6;5693.4;5696.5
p5;1930.3;1929.8;1929.9;1930.2;1929.8;1929.5;1929.9;1929.9;1929.0;1930.0;1929.6;1929.4;1929.6;1928.9;1929.5
p1;721.7;719.9;720.7;718.9;720.0;722.9;720.7;721.8;720.4;720.9;719.9;721.5;721.1;721.8;721.1
CVRP_5;1204.4;1204.4;1204.4;1204.4;1204.4;1204.1;1204.4;1204.4;1204.4;1204.4;1204.4;1204.4;1205.2;1204.4;1204.1
p31;713.5;697.4;710.9;697.4;697.4;697.4;707.2;699.8;699.8;704.6;699.8;708.5;702.2;702.2;704.6
p15;1351.6;1354.8;1353.2;1357.7;1352.8;1353.2;1356.3;1357.0;1352.9;1352.2;1354.1;1353.4;1353.2;1359.6;1354.1
p20;8720.5;8727.5;8727.1;8725.2;8725.4;8749.3;8741.4;8726.4;8725.4;8728.0;8723.4;8729.1;8725.6;8727.4;8727.9
CVRP_2;669.5;670.4;671.2;668.9;668.9;668.8;669.5;668.8;668.8;671.3;668.9;671.2;671.3;671.2;671.3
p4;1846.4;1847.7;1846.3;1846.8;1846.3;1848.8;1846.3;1846.9;1847.7;1846.5;1846.9;1847.1;1846.8;1846.2;1848.1
p16;6156.4;6156.8;6159.1;6157.2;6155.8;6156.6;6155.0;6155.9;6159.3;6159.0;6156.0;6156.4;6157.4;6158.9;6156.4
CVRP_100;346.5;345.2;346.5;345.8;345.8;345.2;347.4;345.8;345.8;347.4;345.2;346.5;347.4;346.5;347.4
p18;10784.8;10785.7;10784.0;10783.0;10784.0;10783.5;10783.8;10784.5;10786.5;10784.2;10783.0;10798.8;10783.9;10783.3;10782.7
p2;717.2;718.9;717.7;718.2;718.5;719.1;715.7;717.5;718.8;718.4;716.4;717.8;715.1;715.5;716.7
p17;7239.2;7240.7;7243.4;7241.4;7239.5;7241.7;7242.1;7246.9;7240.4;7244.9;7240.8;7242.7;7243.2;7244.3;7246.3
p12;9769.4;9771.8;9768.1;9764.6;9764.8;9768.3;9767.2;9770.5;9767.4;9768.1;9768.2;9746.4;9767.2;9749.2;9769.8
p11;3374.8;3377.0;3378.7;3372.7;3374.5;3375.1;3375.1;3373.4;3381.6;3385.1;3376.3;3372.2;3373.6;3376.8;3375.8
CVRP_4;1177.4;1177.4;1177.4;1177.4;1177.2;1177.4;1177.4;1177.6;1177.4;1177.2;1177.4;1176.5;1177.4;1177.5;1177.4
CVRP_1;657.6;644.5;657.9;644.8;644.8;644.8;657.9;644.5;642.6;657.9;640.1;657.9;657.9;657.9;657.6
p13;16670.0;16670.0;16694.0;16670.0;16668.0;16670.0;16670.0;16668.0;16670.0;16670.0;16668.0;16668.0;16667.0;15392.0;16668.0
