Instance;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH
CVRP_3;607.8;607.9;607.4;608.2;607.9
p3;1278.9;1280.7;1278.9;1278.7;1278.7
p6;1924.0;1923.4;1923.3;1923.9;1923.4
p19;5693.4;5694.7;5695.0;5695.1;5694.7
p5;1929.8;1929.9;1929.5;1930.0;1929.3
p1;720.0;719.5;721.5;720.7;720.0
CVRP_5;1204.4;1204.4;1204.0;1204.4;1204.1
p31;697.4;697.4;699.8;697.4;697.4
p15;1352.8;1355.1;1351.6;1355.1;1355.9
p20;8725.4;8725.4;8728.0;8725.4;8727.4
CVRP_2;668.9;668.8;668.9;668.9;669.2
p4;1846.3;1846.6;1846.3;1845.8;1846.3
p16;6155.8;6155.8;6156.0;6156.1;6156.0
CVRP_100;345.8;345.2;345.8;345.2;345.2
p18;10784.0;10784.7;10784.0;10783.8;10782.8
p2;718.5;716.8;723.9;718.5;716.9
p17;7239.5;7242.5;7241.1;7239.9;7241.4
p12;9764.8;9764.6;9767.7;9745.7;9769.1
p11;3374.5;3376.6;3372.4;3373.6;3372.7
CVRP_4;1177.2;1177.4;1177.2;1177.2;1177.4
CVRP_1;644.8;644.8;644.5;645.8;644.8
p13;16668.0;16694.0;16668.0;16667.0;16668.0
