Instance;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
C1_4_1;7877.1;7894.1;7862.0;7435.8;7569.8;7549.2;8100.3;7545.4;8078.8;7616.7;7670.6;7819.4;7637.0;7468.8;7529.0
C1_2_7;3221.0;3012.0;3231.0;3059.0;3010.0;2958.0;3001.0;3033.0;3213.0;2947.0;3322.0;3040.0;3165.0;2882.0;2973.0
C1_4_10;7984.5;8134.7;7827.9;7969.9;7919.9;8310.3;8035.5;7983.4;8030.0;7937.5;8009.5;8007.8;8045.5;7999.9;7959.4
C1_4_2;8082.1;8119.1;8261.8;8153.4;8038.3;8056.6;8187.2;8125.7;8082.6;8167.8;8229.5;8141.5;8315.2;8212.1;8044.2
C1_4_9;7913.9;7920.7;7966.0;7959.6;7961.7;7941.3;7907.8;8028.4;7978.5;7967.8;7924.5;7887.2;7784.2;7907.0;7917.0
C1_2_5;3384.0;3105.0;3384.0;3384.0;3384.0;3384.0;3384.0;3105.0;3105.0;3384.0;3105.0;3105.0;3105.0;3105.0;3105.0
C1_2_4;2942.0;3014.0;2815.0;3120.0;3199.0;3003.0;3038.0;2974.0;3126.0;3178.0;3054.0;3104.0;2915.0;2946.0;3049.0
C1_2_8;2757.0;2842.0;2862.0;2892.0;3117.0;2976.0;2862.0;2851.0;3185.0;2956.0;2981.0;2831.0;2988.0;2913.0;2872.0
C1_4_5;7805.8;7874.5;8276.7;7998.2;8106.4;8130.8;8042.4;7675.1;7922.6;7826.3;8008.4;8021.4;8199.0;8016.3;8135.0
C1_6_1;17662.1;17597.7;18100.6;18759.7;17808.3;18340.6;17141.6;19371.8;17556.9;17911.9;17848.3;18127.9;19782.1;18991.2;19379.4
C1_2_3;3078.0;3151.0;3298.0;3133.0;3078.0;3078.0;3128.0;3188.0;3078.0;3078.0;3078.0;3078.0;3055.0;3078.0;3105.0
C1_6_3;18598.6;18707.6;18641.8;19283.8;18638.0;18461.0;19499.4;18822.7;18284.8;18475.6;18284.3;18757.3;18914.3;19058.9;19127.5
C1_2_10;2997.0;2920.0;2861.0;3013.0;3344.0;2902.0;3112.0;2914.0;2916.0;2957.0;3112.0;2872.0;3344.0;2861.0;2997.0
C1_2_9;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0
C1_2_6;3153.0;3215.0;3243.0;3160.0;3250.0;3153.0;2959.0;3085.0;2976.0;3150.0;2976.0;3287.0;3105.0;3287.0;2996.0
C1_4_6;8277.7;8431.1;8196.5;8105.4;8459.3;7958.3;7979.7;8050.1;8343.3;8314.6;8003.6;8262.3;8243.5;8320.6;7946.5
C1_4_4;7856.8;7884.5;7957.8;7919.2;8001.2;7910.8;7950.8;7953.7;7989.1;7935.6;7916.1;7946.0;7860.2;7913.6;7934.1
C1_2_2;2942.0;2963.0;3083.0;3091.0;3007.0;3124.0;3042.0;2912.0;3353.0;3221.0;3247.0;2761.0;3434.0;3292.0;2898.0
C1_6_5;18527.0;18783.5;18203.3;18871.5;17704.0;18099.1;17770.0;17887.0;17981.6;17650.4;18114.9;18097.5;18031.7;18001.9;18607.1
C1_2_1;3315.0;3226.0;3315.0;2990.0;2990.0;3226.0;3226.0;3315.0;3315.0;3315.0;2990.0;2990.0;3226.0;3226.0;2990.0
C1_4_3;8268.5;8234.5;8280.9;8180.3;8119.1;8231.5;8038.3;8106.2;8095.0;8205.1;8221.1;8292.3;8214.4;8117.4;8176.6
C1_6_2;18944.1;19905.1;20692.1;19633.2;19702.5;20347.6;19784.4;19541.2;18959.0;19539.2;19524.5;19824.5;20118.7;18964.9;19469.6
C1_4_7;8065.2;8168.5;8071.9;8090.6;7970.2;8135.9;8050.5;8093.2;8096.4;8029.0;8096.6;8016.4;7878.0;8072.6;7851.5
C1_6_4;16752.0;16550.0;16645.6;16292.2;16624.0;16633.5;16700.5;16225.1;16390.5;16556.7;16387.5;16858.0;16456.1;16512.1;16442.2
C1_4_8;7898.9;8103.7;8024.7;8003.4;7957.4;8112.0;8118.5;8027.7;8094.2;8144.0;7966.8;8152.2;7849.0;8060.4;8051.4
