Instance;CHRISTOFIDES_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT
C1_4_1;7661.3;7534.0;7573.0;7828.7;7517.2;7242.0;7927.0;7507.2;7917.3;7371.0;7610.3;7586.1;7682.6;8143.4;8004.7
C1_2_7;2859.0;2938.0;3043.0;3256.0;2998.0;3138.0;3001.0;2988.0;3025.0;2811.0;3213.0;3033.0;2973.0;3076.0;3231.0
C1_4_10;8007.8;7924.5;7838.8;7964.5;7933.5;7926.0;7997.3;7964.9;7978.1;7968.2;7893.3;7897.6;7996.3;7961.3;7923.1
C1_4_2;8250.3;8153.2;8420.9;8070.0;8159.7;8020.9;8236.8;8192.5;8152.7;8110.0;8219.7;8117.9;8165.3;8163.3;8202.3
C1_4_9;7935.1;7986.2;7863.7;7929.6;7983.4;8111.0;7963.2;7971.0;7867.7;7970.1;7891.1;7938.2;7911.1;8022.0;8034.7
C1_2_5;3384.0;3105.0;3384.0;3105.0;3384.0;3105.0;3384.0;3105.0;3105.0;3384.0;3384.0;3105.0;3105.0;3105.0;3384.0
C1_2_4;3121.0;3055.0;2920.0;3084.0;3076.0;3201.0;3003.0;3014.0;3094.0;2949.0;3120.0;3126.0;3104.0;2972.0;3178.0
C1_2_8;3086.0;2975.0;3021.0;2938.0;3039.0;2865.0;2823.0;2913.0;2972.0;2969.0;3117.0;2887.0;2981.0;2842.0;2757.0
C1_4_5;7833.8;7989.3;7972.0;8299.8;8067.2;8370.0;8185.5;8077.6;7825.1;7609.7;7908.5;7995.3;7902.7;8139.8;8055.1
C1_6_1;16569.0;17014.9;17755.9;17104.1;18699.6;19908.0;16882.7;18323.1;19316.6;17608.8;17049.4;17309.9;18236.7;17779.7;17791.2
C1_2_3;3141.0;2932.0;3217.0;3278.0;3081.0;3215.0;3078.0;3078.0;2828.0;3041.0;3078.0;3078.0;3078.0;3078.0;3078.0
C1_6_3;18748.9;19000.0;19018.4;18411.1;19056.6;17901.5;18460.9;18648.8;17465.8;18394.7;18229.8;18453.6;19144.0;18580.7;18434.4
C1_2_10;2997.0;2916.0;2902.0;3112.0;2914.0;2976.0;2916.0;2957.0;2861.0;3344.0;2920.0;3344.0;2902.0;3013.0;2872.0
C1_2_9;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0
C1_2_6;2982.0;3091.0;3036.0;3289.0;3143.0;3065.0;3153.0;2976.0;2894.0;3040.0;3153.0;2976.0;3287.0;2976.0;3250.0
C1_4_6;7836.3;8218.8;8044.8;8323.8;8109.9;8389.0;8079.3;8178.3;8246.2;8005.0;8033.8;8207.7;7901.9;8210.3;8212.9
C1_4_4;7898.8;7975.3;7963.5;8024.0;7869.2;8314.0;7958.6;7922.7;8064.2;7996.3;8026.2;7920.9;7979.7;7923.1;7765.0
C1_2_2;3202.0;3053.0;3073.0;2821.0;3132.0;3443.0;3174.0;3137.0;3034.0;2940.0;3247.0;3027.0;3443.0;2959.0;2896.0
C1_6_5;18127.2;17903.5;18789.0;17719.3;18263.9;18813.3;18781.2;18312.8;18640.0;18609.3;18303.3;17587.5;18196.9;19032.8;17804.7
C1_2_1;3226.0;3226.0;2990.0;3315.0;2990.0;3315.0;2990.0;2990.0;2990.0;3315.0;3315.0;3226.0;3315.0;3226.0;3226.0
C1_4_3;8074.7;8194.1;8147.4;8294.1;8171.6;8061.9;8174.3;8149.7;8146.8;8208.5;8204.1;8282.6;8218.2;8286.0;8336.2
C1_6_2;20874.2;19410.3;19709.2;20126.9;19464.8;20134.4;20216.0;18813.9;19950.9;19812.8;20338.9;19754.1;19518.6;20397.7;19917.0
C1_4_7;8038.5;7970.6;8289.0;7956.8;8139.3;7942.0;8112.9;7943.7;8070.1;8126.0;8133.9;7994.4;8080.2;8105.0;8108.8
C1_6_4;16170.2;16385.1;17443.0;16523.1;16258.3;16743.7;16673.3;16524.0;16286.9;16646.1;16559.4;16352.8;16942.0;16839.7;16653.6
C1_4_8;8010.5;8262.1;8104.7;8019.9;8036.4;8475.0;7949.2;7999.7;8217.6;8260.5;8158.6;8043.8;8048.7;8055.0;8114.3
