Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
C1_4_1;8078.4;7623.0;7602.3;7540.6;7872.7;7368.2;8035.8;7561.5;7759.0;7467.1;7800.3;7779.0;7537.7;7555.0;7802.2
C1_2_7;2958.0;3012.0;3221.0;2938.0;2882.0;3010.0;2811.0;3040.0;3097.0;2859.0;3322.0;3059.0;3213.0;3025.0;2947.0
C1_4_10;8029.2;7884.9;8019.2;7853.9;7992.9;7983.1;8049.2;7850.8;7952.3;7974.6;7962.5;8031.9;7981.9;7980.6;8009.6
C1_4_2;8262.4;8185.6;8289.9;8084.8;8111.5;8253.7;8303.6;8301.0;8358.5;8215.3;8192.8;8055.6;7970.6;8147.6;8260.6
C1_4_9;7992.0;7913.8;7964.0;7916.3;7979.5;7913.3;7915.4;8078.1;7663.9;7966.5;7977.0;7908.2;8054.8;7974.8;8029.4
C1_2_5;3105.0;3384.0;3105.0;3105.0;3384.0;3105.0;3384.0;3384.0;3384.0;3384.0;3384.0;3105.0;3384.0;3105.0;3105.0
C1_2_4;3054.0;3131.0;3084.0;2972.0;3121.0;2993.0;3120.0;3033.0;3139.0;3178.0;3076.0;3175.0;2974.0;3014.0;3107.0
C1_2_8;2837.0;3021.0;2981.0;2887.0;2878.0;2708.0;2792.0;3007.0;3018.0;3039.0;2823.0;2976.0;2961.0;3168.0;3154.0
C1_4_5;7805.5;7840.2;8132.5;8129.1;7762.2;7854.2;8159.7;7718.1;7587.0;8093.0;8142.6;8104.4;7981.6;7884.4;8247.7
C1_6_1;18687.3;18413.4;18124.2;17782.1;18264.4;18430.4;18130.5;17440.6;19293.3;18612.1;17079.4;17645.3;17232.3;18257.2;16947.2
C1_2_3;3149.0;2929.0;3078.0;3078.0;3078.0;3137.0;3078.0;3058.0;3100.0;3078.0;3078.0;3164.0;2977.0;3078.0;3065.0
C1_6_3;18597.4;18066.6;18896.4;18744.8;19366.7;18963.9;18034.9;19979.5;19972.3;18860.6;18279.2;18597.5;19309.6;18338.5;18391.0
C1_2_10;3344.0;2872.0;2914.0;2920.0;3112.0;2997.0;2957.0;2916.0;2920.0;2902.0;3013.0;2957.0;2861.0;2872.0;2902.0
C1_2_9;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0
C1_2_6;3113.0;3215.0;2976.0;3287.0;3196.0;2929.0;3153.0;3055.0;3143.0;3250.0;3250.0;3360.0;3192.0;2976.0;3111.0
C1_4_6;7979.0;8424.7;8368.1;8282.1;8211.1;8376.1;8016.1;8262.1;8119.5;7860.8;8093.1;8040.3;8362.0;8424.9;8248.1
C1_4_4;7914.5;7884.5;7969.5;7995.6;7915.8;7943.9;7932.7;7923.3;8071.7;7920.6;7858.0;7936.4;7879.7;7973.1;8057.3
C1_2_2;3196.0;3251.0;3023.0;3396.0;2962.0;3138.0;3110.0;3082.0;3359.0;3076.0;3093.0;3199.0;2989.0;3004.0;3130.0
C1_6_5;18571.1;18618.8;18813.1;18138.7;17712.3;19172.1;18869.0;18896.5;17456.9;19538.0;19173.9;19514.1;18987.0;18049.9;18131.8
C1_2_1;2990.0;2990.0;3226.0;2990.0;2990.0;3315.0;3226.0;3315.0;3226.0;2990.0;3315.0;3315.0;3226.0;3315.0;3226.0
C1_4_3;8112.2;8169.9;8352.9;8111.0;8177.3;8212.6;8135.5;8072.8;8089.5;8162.3;8208.9;8190.3;8324.2;8200.7;8180.4
C1_6_2;19747.6;20648.2;18647.5;18962.3;20027.2;19993.3;20033.9;20377.7;20416.4;19071.9;19947.4;20345.3;19576.1;19258.3;19637.4
C1_4_7;8059.7;8173.1;8023.9;8083.8;7962.2;8116.6;8016.4;8020.5;8187.0;8117.9;8104.5;8238.0;8132.6;8017.0;8118.8
C1_6_4;16423.3;16688.3;16539.8;16892.2;16736.7;16820.0;16358.3;16533.1;17320.5;16977.2;16734.6;16396.7;16231.9;16556.9;16451.0
C1_4_8;8088.2;8097.6;8017.4;8065.7;8044.9;8143.6;8167.5;8191.4;7883.0;8008.1;7997.2;7974.8;8070.7;8129.3;7987.1
