Instance;SAVINGS_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING
C1_4_1;7562.1;7839.5;7567.2;7374.7;8163.0;8100.9;7715.0;7719.9;7621.2;7529.0;7454.4;7815.6;7968.0;7929.0;7627.1
C1_2_7;3076.0;2973.0;3001.0;3213.0;2998.0;3033.0;3119.0;3040.0;3231.0;3256.0;3012.0;2958.0;2947.0;2988.0;3059.0
C1_4_10;7981.8;8070.0;7988.7;8035.6;8018.3;7962.2;8092.1;8026.9;8025.0;7882.4;8126.4;8053.3;8010.7;8007.9;7919.0
C1_4_2;8162.4;8099.1;8437.8;8204.3;8242.4;8254.8;8173.6;8214.6;8194.1;8236.5;8270.3;8119.6;8135.9;8211.9;8160.6
C1_4_9;7957.0;7904.6;8000.2;7948.5;8061.3;8033.3;7871.8;7862.2;7949.4;7855.7;7894.4;8025.0;7946.6;8021.1;7960.2
C1_2_5;3384.0;3384.0;3105.0;3105.0;3105.0;3384.0;3105.0;3384.0;3105.0;3384.0;3384.0;3105.0;3105.0;3384.0;3105.0
C1_2_4;3015.0;2942.0;3054.0;3131.0;3089.0;2974.0;3107.0;3076.0;2946.0;3192.0;3121.0;2972.0;3084.0;3199.0;2993.0
C1_2_8;3032.0;3067.0;2877.0;2836.0;2975.0;2792.0;2961.0;3020.0;2934.0;3002.0;3039.0;2831.0;2870.0;3143.0;3168.0
C1_4_5;7964.2;7988.9;7742.8;7633.3;7920.8;7861.6;7556.0;8137.5;7678.6;8110.6;7824.9;7728.7;7991.9;7775.6;7963.5
C1_6_1;17649.9;18048.9;17654.1;18500.4;18634.0;17799.9;17409.2;18882.0;19047.7;19011.4;16915.9;16905.8;17891.7;18574.9;17757.6
C1_2_3;2982.0;3101.0;3078.0;3174.0;3377.0;3078.0;3129.0;3078.0;3054.0;3076.0;3078.0;3078.0;3078.0;2930.0;3078.0
C1_6_3;19241.7;19304.8;19051.4;18717.3;19174.0;18189.1;17485.2;19109.6;18275.2;18829.7;18409.4;18570.8;18658.3;18707.1;19029.8
C1_2_10;2957.0;3344.0;2861.0;2872.0;2920.0;2997.0;2914.0;2920.0;2916.0;3013.0;2914.0;2957.0;3013.0;2902.0;3112.0
C1_2_9;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0
C1_2_6;3287.0;2864.0;2878.0;3181.0;3015.0;3250.0;2989.0;3250.0;3284.0;3061.0;3153.0;3287.0;2976.0;3125.0;3287.0
C1_4_6;8203.7;7946.4;8017.9;8033.7;8068.6;8077.0;7778.2;8231.8;8189.1;8370.4;8353.4;7907.9;8377.8;8181.4;8075.5
C1_4_4;7989.6;7934.0;7854.6;7968.2;7873.6;7911.9;7919.5;7873.7;7946.1;7853.1;7848.1;7946.9;8036.3;7983.5;7904.4
C1_2_2;2972.0;2880.0;3040.0;2942.0;3213.0;3488.0;3351.0;3131.0;3197.0;2981.0;3071.0;2991.0;3250.0;3133.0;3017.0
C1_6_5;18990.2;17766.4;18737.2;17768.1;18694.4;17811.6;19529.7;18581.2;17965.1;18123.8;18418.3;17821.2;17413.4;19007.9;17578.2
C1_2_1;2990.0;3226.0;3315.0;3226.0;3315.0;2990.0;2990.0;3226.0;2990.0;3226.0;3315.0;3315.0;2990.0;3315.0;3226.0
C1_4_3;8173.8;8206.8;8155.5;8205.2;8063.4;8233.6;8185.5;8188.9;8132.5;8279.2;8200.2;8274.4;8328.8;8282.9;8136.6
C1_6_2;19514.4;18739.5;20015.4;19961.6;19346.1;20127.5;20667.4;19536.0;18875.0;19363.9;20178.5;19680.1;19009.2;19939.9;19874.0
C1_4_7;8046.1;7957.9;8180.8;8089.4;8094.3;8156.5;7688.0;8020.4;7896.6;8061.3;8158.3;8057.3;8062.0;8016.4;8103.2
C1_6_4;16745.9;16365.9;16768.9;16536.1;16120.2;16830.1;16285.7;16334.9;16854.5;16640.8;16800.0;16301.7;16533.5;16107.0;16321.4
C1_4_8;8042.9;8075.8;8135.7;8043.0;7869.9;8101.2;8047.0;8002.5;8040.4;8047.8;8140.9;8035.2;8029.5;8164.0;8056.3
