Instance;SWEEP_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH
C1_4_1;7847.5;7815.3;7463.6;7546.3;7915.1;7614.9;7696.3;7371.0;8069.9;7572.7;7537.8;7555.7;8114.0;8027.0;7963.0
C1_2_7;3221.0;2998.0;3025.0;3322.0;2859.0;2882.0;3256.0;3213.0;3213.0;2988.0;2811.0;3076.0;2938.0;2818.0;3010.0
C1_4_10;8007.1;7938.8;7931.4;7928.6;7886.2;7853.0;7993.0;7841.3;8019.1;7985.7;7971.1;7967.0;8135.5;7877.5;7962.1
C1_4_2;8048.5;8131.4;8138.7;8131.5;8125.0;8135.2;8129.2;8122.6;8120.1;8138.8;8004.8;8136.2;8269.1;8273.2;8142.0
C1_4_9;8018.2;7841.3;7963.8;7926.1;7831.7;7898.4;7894.1;7932.0;7995.8;7959.9;7883.8;7965.5;7902.5;8242.0;7872.2
C1_2_5;3384.0;3105.0;3384.0;3105.0;3105.0;3105.0;3384.0;3105.0;3105.0;3384.0;3105.0;3384.0;3384.0;3384.0;3384.0
C1_2_4;3231.0;3054.0;3199.0;3104.0;2946.0;3042.0;2942.0;2932.0;2993.0;3121.0;3126.0;2974.0;3003.0;2968.0;2976.0
C1_2_8;2959.0;2831.0;3011.0;2853.0;2870.0;3198.0;3020.0;3099.0;3185.0;3117.0;3026.0;2976.0;2942.0;3272.0;2855.0
C1_4_5;7855.0;7724.1;8047.7;8015.9;7725.5;7991.7;8144.4;7615.7;7916.8;8059.2;7844.1;7639.5;8142.4;8261.0;8002.4
C1_6_1;19016.7;16733.0;17899.1;17425.2;17015.1;18445.0;17863.3;17232.4;17423.8;17929.0;17092.2;19179.6;17220.3;17718.2;17341.7
C1_2_3;3055.0;3078.0;3078.0;3168.0;3078.0;3192.0;3078.0;3001.0;3078.0;3078.0;3462.0;3078.0;3069.0;3179.0;2947.0
C1_6_3;18211.4;19047.3;19107.4;18222.8;19224.2;18326.4;18497.6;19645.8;18666.5;18274.5;18592.7;18900.4;18675.0;18991.5;18637.1
C1_2_10;2920.0;2997.0;2916.0;2957.0;3344.0;3013.0;2861.0;3112.0;2914.0;3013.0;2902.0;3112.0;2872.0;2997.0;2914.0
C1_2_9;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0;2963.0
C1_2_6;3148.0;2976.0;3250.0;2987.0;3287.0;2859.0;3153.0;3333.0;3287.0;3153.0;3083.0;3250.0;3149.0;3203.0;2982.0
C1_4_6;8325.9;8095.2;8281.7;8066.3;7819.0;8213.5;8218.6;8415.7;8048.4;8172.7;8028.2;8177.8;8282.2;7944.3;8329.1
C1_4_4;7904.9;7861.2;7892.0;7802.5;7793.9;8001.3;7938.1;7854.0;7959.7;7970.6;7825.9;7787.8;8163.6;7955.0;7918.2
C1_2_2;3097.0;3025.0;2937.0;3032.0;3276.0;3225.0;2978.0;3190.0;2994.0;2951.0;3115.0;3168.0;2967.0;3185.0;3020.0
C1_6_5;18812.2;18331.3;18182.0;18291.9;18554.7;19021.4;18995.6;19110.8;18251.9;18550.9;18867.9;18785.6;18147.3;19462.4;18297.0
C1_2_1;2990.0;3226.0;3226.0;3226.0;3315.0;3315.0;2990.0;2990.0;2990.0;3226.0;2990.0;3315.0;3315.0;3315.0;3226.0
C1_4_3;8150.2;8233.8;8357.0;8278.2;8128.5;8053.3;8232.6;8140.3;8101.9;8198.0;8167.5;8129.5;8135.6;8320.4;8135.1
C1_6_2;20003.2;18835.1;18898.2;19978.3;20186.6;20042.0;18898.7;20085.4;20442.7;19093.3;20042.6;20320.2;19832.4;19099.8;20791.2
C1_4_7;7967.7;8040.4;8218.6;7969.8;7986.5;7994.2;8093.1;8040.5;7904.0;8124.9;7999.4;8007.6;8104.7;8143.0;8009.9
C1_6_4;16515.7;16419.3;16929.0;16564.8;16807.1;16380.6;17048.5;16421.5;16614.7;16686.0;17062.9;16454.8;16445.5;16741.0;16685.4
C1_4_8;8034.5;8155.2;7972.3;8107.9;8018.8;7977.0;7967.3;8161.7;8012.1;8003.6;8056.0;8026.3;8154.3;8238.0;8047.9
