Instance;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
C1_4_1;7815.3;7815.6;7540.6;8004.7;7529.0
C1_2_7;2998.0;2958.0;2938.0;3231.0;2973.0
C1_4_10;7938.8;8053.3;7853.9;7923.1;7959.4
C1_4_2;8131.4;8119.6;8084.8;8202.3;8044.2
C1_4_9;7841.3;8025.0;7916.3;8034.7;7917.0
C1_2_5;3105.0;3105.0;3105.0;3384.0;3105.0
C1_2_4;3054.0;2972.0;2972.0;3178.0;3049.0
C1_2_8;2831.0;2831.0;2887.0;2757.0;2872.0
C1_4_5;7724.1;7728.7;8129.1;8055.1;8135.0
C1_6_1;16733.0;16905.8;17782.1;17791.2;19379.4
C1_2_3;3078.0;3078.0;3078.0;3078.0;3105.0
C1_6_3;19047.3;18570.8;18744.8;18434.4;19127.5
C1_2_10;2997.0;2957.0;2920.0;2872.0;2997.0
C1_2_9;2963.0;2963.0;2963.0;2963.0;2963.0
C1_2_6;2976.0;3287.0;3287.0;3250.0;2996.0
C1_4_6;8095.2;7907.9;8282.1;8212.9;7946.5
C1_4_4;7861.2;7946.9;7995.6;7765.0;7934.1
C1_2_2;3025.0;2991.0;3396.0;2896.0;2898.0
C1_6_5;18331.3;17821.2;18138.7;17804.7;18607.1
C1_2_1;3226.0;3315.0;2990.0;3226.0;2990.0
C1_4_3;8233.8;8274.4;8111.0;8336.2;8176.6
C1_6_2;18835.1;19680.1;18962.3;19917.0;19469.6
C1_4_7;8040.4;8057.3;8083.8;8108.8;7851.5
C1_6_4;16419.3;16301.7;16892.2;16653.6;16442.2
C1_4_8;8155.2;8035.2;8065.7;8114.3;8051.4
