Instance;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH
HFVRP_4;94500.0;94266.0;87221.0;77390.0;94118.0;75504.0;97671.0;976710.0;83335.0;94500.0;94266.0
C1_4_9;553641.0;676315.1;556051.8;555932.9;566477.0;540654.4;556051.8;1184446.8;540224.0;561126.0;668728.5
C1_6_4;1185247.5;1759895.625;1183445.25;1236967.375;1168405.375;1180758.375;1191528.625;4060052.375;1155920.625;1185019.75;1592925.5
C1_6_5;1185266.625;1693538.0;1175129.875;1218201.25;1165887.125;1176234.125;1178329.125;3983144.375;1155920.625;1184360.0;1508168.375
C1_2_7;230946.0;231163.0;237017.0;227862.0;231060.0;216792.0;237017.0;254184.0;217882.0;230809.0;231163.0
C1_4_10;553641.0;706762.0;556056.6;553636.0;566577.5;540703.3;556056.6;1122814.5;540224.0;561129.8;672831.1
HFVRP_p14;315856.0;323115.0;313867.0;317764.0;324522.0;290968.0;304630.0;3245220.0;313571.0;310169.0;323115.0
C1_2_6;230946.0;231163.0;237017.0;227862.0;231060.0;216792.0;237017.0;254184.0;217882.0;230809.0;231163.0
CVRP_p5;73284.0;75956.0;71235.0;69842.0;71620.0;68561.0;69795.0;760500.0;75640.0;71855.0;75979.5
CVRP_4;183155.0;187591.0;181554.0;186259.0;185643.0;183817.0;181554.0;1942240.0;194224.0;180795.0;187591.0
C1_4_7;553662.75;675707.125;556053.0;553636.0;566560.0;540626.625;556059.0;1005352.125;540224.0;561126.0;666806.625
C1_4_1;553675.8;683516.4;556051.8;553636.0;566560.0;540633.3;556051.8;1104706.1;540224.0;561126.0;668676.1
C1_6_3;1185661.5;1642051.8;1176430.5;1213972.7;1165895.2;1173400.6;1186529.1;3728927.5;1155961.2;1186619.6;1453792.1
C1_2_1;230946.0;231163.0;237017.0;227862.0;231060.0;216792.0;237017.0;254184.0;217882.0;230809.0;231163.0
CVRP_p3;78309.0;86301.0;77607.0;79772.0;79788.0;79839.0;77607.0;81754.0;84532.0;79195.0;86301.0
C1_6_2;1186502.0;1716965.0;1177641.0;1230969.625;1167833.25;1181690.25;1186273.75;4136425.875;1156004.5;1186851.75;1589320.5
C1_4_4;553641.0;666350.75;556047.0;553636.0;566560.0;540544.0;556047.0;957590.0;540224.0;561126.0;658891.125
CVRP_100;26205.0;26205.0;28326.0;27353.0;26720.0;26205.0;28326.0;26205.0;28206.0;26205.0;26205.0
C1_2_5;230946.0;231163.0;237017.0;227862.0;231060.0;216792.0;237017.0;254184.0;217882.0;230809.0;231163.0
C1_4_3;553641.0;696850.5;556053.0;553636.0;566560.0;540618.75;556059.0;1049134.875;540224.0;561126.0;670128.625
HFVRP_1;68557.0;62463.6;61222.0;60856.0;60859.0;61676.0;61222.0;705250.0;60086.0;70525.0;62673.7
C1_4_2;553641.0;672367.4;556047.0;553636.0;566477.0;540632.1;556047.0;1012259.6;540224.0;561126.0;660389.0
C1_2_3;230946.0;231163.0;237017.0;227862.0;231060.0;216792.0;237017.0;254184.0;217882.0;230809.0;231163.0
C1_4_6;553662.75;671822.25;556053.0;554016.25;566560.0;540581.75;556053.0;1054868.875;540224.0;561130.75;669227.625
C1_4_8;553641.0;685642.0;556047.0;553636.0;566560.0;540693.5;556047.0;974152.375;540224.0;561126.0;659889.125
C1_2_10;230946.0;231163.0;237017.0;227862.0;231060.0;216792.0;237017.0;254184.0;217882.0;230809.0;231163.0
C1_2_4;230946.0;231163.0;237017.0;227862.0;231060.0;216792.0;237017.0;254184.0;217882.0;230809.0;231163.0
C1_6_1;1186953.0;1719427.9;1181037.9;1240312.2;1167711.2;1181644.6;1190186.3;4525587.8;1156136.5;1187790.1;1597448.8
CVRP_p14;305392.0;353713.0;308075.0;316134.0;306403.0;317762.0;310031.0;339306.3;344001.0;310201.0;353713.0
C1_2_8;230946.0;231163.0;237017.0;227862.0;231060.0;216792.0;237017.0;254184.0;217882.0;230809.0;231163.0
C1_2_9;230946.0;231163.0;237017.0;227862.0;231060.0;216792.0;237017.0;254184.0;217882.0;230809.0;231163.0
C1_2_2;230946.0;231163.0;237017.0;227862.0;231060.0;216792.0;237017.0;254184.0;217882.0;230809.0;231163.0
CVRP_1;82258.0;88463.8;82643.0;82359.0;83173.0;82511.0;82643.0;85094.0;83246.0;82258.0;88454.0
HFVRP_p3;77397.0;85251.0;77444.0;80143.0;78541.0;75087.0;77444.0;852510.0;80712.0;77397.0;85251.0
C1_4_5;553641.0;682583.3;556056.6;555030.4;566560.0;540617.2;556056.6;1143948.0;540224.0;561129.8;668353.3
HFVRP_p5;85858.0;81990.0;77357.0;75764.0;76338.0;77041.0;77357.0;858580.0;80305.0;85858.0;81990.0
CVRP_3;777.0;7770.0;7770.0;7770.0;777.0;7770.0;7770.0;7770.0;777.0;777.0;7770.0
